lender,lender_city,lender_state,do_code,sba_do_name,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
ConnectOne Bank,Englewood Cliffs,NJ,914,LOS ANGELES DISTRICT OFFICE,2,1975000,1481250,987500.0,75.0
"PNC Bank, National Association",Wilmington,DE,457,KENTUCKY DISTRICT OFFICE,10,1973300,1383600,197330.0,70.12
First Bank and Trust Co,Duncan,OK,680,OKLAHOMA DISTRICT OFFICE,1,1972400,1479300,1972400.0,75.0
Grasshopper Bank National Association,New York,NY,299,NEW JERSEY DISTRICT OFFICE,2,1968900,1476675,984450.0,75.0
PeopleFund,Austin,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,14,1968400,1579490,140600.0,80.24
Byline Bank,Chicago,IL,304,RICHMOND DISTRICT OFFICE,2,1968000,1476000,984000.0,75.0
Umpqua Bank,Roseburg,OR,942,FRESNO DISTRICT OFFICE,7,1966500,1427250,280928.57,72.58
Woori America Bank,New York,NY,507,ILLINOIS DISTRICT OFFICE,5,1965000,1319750,393000.0,67.16
FFB Bank,Fresno,CA,897,WYOMING DISTRICT OFFICE,2,1962000,1396500,981000.0,71.18
Pinnacle Bank,Nashville,TN,457,KENTUCKY DISTRICT OFFICE,1,1961000,1470750,1961000.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,470,MISSISSIPPI DISTRICT OFFICE,12,1961000,1437000,163416.67,73.28
American Continental Bank,City Of Industry,CA,920,SANTA ANA DISTRICT OFFICE,6,1960000,1497000,326666.67,76.38
ConnectOne Bank,Englewood Cliffs,NJ,405,GEORGIA DISTRICT OFFICE,3,1960000,1470000,653333.33,75.0
Old National Bank,Evansville,IN,679,LOUISIANA DISTRICT OFFICE,1,1959300,1469475,1959300.0,75.0
Citizens Bank,Elizabethton,TN,563,WISCONSIN DISTRICT OFFICE,4,1958200,1468650,489550.0,75.0
22nd State Bank,Louisville,AL,942,FRESNO DISTRICT OFFICE,1,1958000,1468500,1958000.0,75.0
Dogwood State Bank,Raleigh,NC,563,WISCONSIN DISTRICT OFFICE,3,1957100,1467825,652366.67,75.0
First Bank of the Lake,Osage Beach,MO,464,SOUTH CAROLINA DISTRICT OFFICE,7,1953300,1473725,279042.86,75.45
Cadence Bank,Tupelo,MS,373,BALTIMORE DISTRICT OFFICE,6,1950000,1462500,325000.0,75.0
Celtic Bank Corporation,Salt Lake City,UT,165,RHODE ISLAND DISTRICT OFFICE,2,1950000,1462500,975000.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,1013,SEATTLE DISTRICT OFFICE,1,1950000,1462500,1950000.0,75.0
Busey Bank,Champaign,IL,455,SOUTH FLORIDA DISTRICT OFFICE,1,1950000,1462500,1950000.0,75.0
GBank,Las Vegas,NV,678,LUBBOCK DISTRICT OFFICE,1,1950000,1462500,1950000.0,75.0
Sovereign Bank,Shawnee,OK,680,OKLAHOMA DISTRICT OFFICE,1,1947900,1460925,1947900.0,75.0
National Exchange Bank and Trust,Fond Du Lac,WI,563,WISCONSIN DISTRICT OFFICE,1,1944000,1458000,1944000.0,75.0
United Community Bank,Greenville,SC,156,CONNECTICUT DISTRICT OFFICE,2,1940000,1367500,970000.0,70.49
Millennium Bank,Des Plaines,IL,508,MINNESOTA DISTRICT OFFICE,2,1938200,1453650,969100.0,75.0
"Beverly Bank & Trust Company, National Association",Chicago,IL,507,ILLINOIS DISTRICT OFFICE,7,1938000,1190500,276857.14,61.43
Hanover Community Bank,Mineola,NY,669,ARKANSAS DISTRICT OFFICE,1,1937000,1452750,1937000.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,811,COLORADO DISTRICT OFFICE,18,1935500,1595175,107527.78,82.42
Coastal Heritage Bank,East Weymouth,MA,101,MASSACHUSETTS DISTRICT OFFICE,7,1935000,1398000,276428.57,72.25
Milestone Bank,Salt Lake City,UT,677,EL PASO DISTRICT OFFICE,1,1935000,1451250,1935000.0,75.0
First Bank of Central Ohio,Worthington,OH,507,ILLINOIS DISTRICT OFFICE,2,1934500,1450875,967250.0,75.0
OptimumBank,Fort Lauderdale,FL,671,HOUSTON DISTRICT OFFICE,2,1932000,1449000,966000.0,75.0
Bristol County Savings Bank,Taunton,MA,165,RHODE ISLAND DISTRICT OFFICE,10,1930000,1215000,193000.0,62.95
Paragon Bank,Memphis,TN,811,COLORADO DISTRICT OFFICE,2,1930000,1447500,965000.0,75.0
HomeTrust Bank,Asheville,NC,709,KANSAS CITY DISTRICT OFFICE,1,1929000,1446750,1929000.0,75.0
"Heritage Bank, Inc.",Burlington,KY,470,MISSISSIPPI DISTRICT OFFICE,3,1924000,1458000,641333.33,75.78
St. Louis Bank,St. Louis,MO,507,ILLINOIS DISTRICT OFFICE,3,1923000,1442250,641000.0,75.0
Northeast Bank,Lewiston,ME,248,SYRACUSE DISTRICT OFFICE,16,1922100,1533785,120131.25,79.8
Ascent Bank,Helena,MT,885,MONTANA DISTRICT OFFICE,2,1921000,1415750,960500.0,73.7
First Financial Bank,Cincinnati,OH,457,KENTUCKY DISTRICT OFFICE,4,1919900,1302425,479975.0,67.84
Paragon Bank,Memphis,TN,101,MASSACHUSETTS DISTRICT OFFICE,1,1919500,1439625,1919500.0,75.0
Orrstown Bank,Shippensburg,PA,303,PHILADELPHIA DISTRICT OFFICE,4,1919500,1339625,479875.0,69.79
"Leader Bank, National Association",Arlington,MA,304,RICHMOND DISTRICT OFFICE,1,1919000,1439250,1919000.0,75.0
Bank OZK,Little Rock,AR,455,SOUTH FLORIDA DISTRICT OFFICE,9,1918900,1410705,213211.11,73.52
Select Bank,Forest,VA,304,RICHMOND DISTRICT OFFICE,12,1917200,1409900,159766.67,73.54
Susser Bank,Dallas,TX,671,HOUSTON DISTRICT OFFICE,2,1917000,1437750,958500.0,75.0
FFB Bank,Fresno,CA,988,ARIZONA DISTRICT OFFICE,2,1916000,1312000,958000.0,68.48
The First Bank,Hattiesburg,MS,459,ALABAMA DISTRICT OFFICE,1,1915000,1436250,1915000.0,75.0
Colony Bank,Fitzgerald,GA,593,COLUMBUS DISTRICT OFFICE,9,1909300,1537005,212144.44,80.5
Bank of Hope,Los Angeles,CA,507,ILLINOIS DISTRICT OFFICE,7,1909000,1224500,272714.29,64.14
American Momentum Bank,College Station,TX,304,RICHMOND DISTRICT OFFICE,1,1909000,1431750,1909000.0,75.0
The Bancorp Bank National Association,Sioux Falls,SD,563,WISCONSIN DISTRICT OFFICE,3,1905000,1428750,635000.0,75.0
Grasshopper Bank National Association,New York,NY,671,HOUSTON DISTRICT OFFICE,2,1905000,1428750,952500.0,75.0
"Centerstone SBA Lending, Inc.",Los Angeles,CA,299,NEW JERSEY DISTRICT OFFICE,2,1905000,1428750,952500.0,75.0
Stearns Bank National Association,Saint Cloud,MN,811,COLORADO DISTRICT OFFICE,7,1905000,1373750,272142.86,72.11
Ponce Bank,New York City,NY,202,NEW YORK DISTRICT OFFICE,2,1902800,1427100,951400.0,75.0
Two Rivers Bank & Trust,Burlington,IA,761,DES MOINES DISTRICT OFFICE,6,1901000,1425750,316833.33,75.0
First American Bank,Elk Grove Village,IL,563,WISCONSIN DISTRICT OFFICE,4,1900000,1425000,475000.0,75.0
First American Bank,Elk Grove Village,IL,549,CLEVELAND DISTRICT OFFICE,1,1900000,1425000,1900000.0,75.0
Commercial Bank of California,Irvine,CA,942,FRESNO DISTRICT OFFICE,1,1900000,1425000,1900000.0,75.0
Shoreham Bank,Warwick,RI,460,NORTH CAROLINA DISTRICT OFFICE,1,1900000,1425000,1900000.0,75.0
Old National Bank,Evansville,IN,593,COLUMBUS DISTRICT OFFICE,1,1900000,1425000,1900000.0,75.0
Capitol National Bank,Lansing,MI,515,MICHIGAN DISTRICT OFFICE,1,1900000,1425000,1900000.0,75.0
Landmark National Bank,Manhattan,KS,709,KANSAS CITY DISTRICT OFFICE,4,1899000,1386750,474750.0,73.03
Northeast Bank,Lewiston,ME,883,UTAH DISTRICT OFFICE,20,1898000,1538300,94900.0,81.05
PeopleFund,Austin,TX,671,HOUSTON DISTRICT OFFICE,14,1896200,1515780,135442.86,79.94
United Business Bank,Walnut Creek,CA,920,SANTA ANA DISTRICT OFFICE,3,1895000,1421250,631666.67,75.0
Commercial Bank of California,Irvine,CA,988,ARIZONA DISTRICT OFFICE,2,1893000,1419750,946500.0,75.0
Opportunity Bank of Montana,Helena,MT,885,MONTANA DISTRICT OFFICE,5,1892000,1431000,378400.0,75.63
CrossFirst Bank,Leawood,KS,988,ARIZONA DISTRICT OFFICE,2,1891200,1418400,945600.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,491,NORTH FLORIDA DISTRICT OFFICE,12,1890800,1506670,157566.67,79.68
Stearns Bank National Association,Saint Cloud,MN,1086,PORTLAND DISTRICT OFFICE,5,1890200,1429650,378040.0,75.63
Peoples Bank,Mendenhall,MS,455,SOUTH FLORIDA DISTRICT OFFICE,3,1889600,1417200,629866.67,75.0
Independent Bank,Grand Rapids,MI,680,OKLAHOMA DISTRICT OFFICE,1,1889000,1416750,1889000.0,75.0
"Bank of America, National Association",Charlotte,NC,296,BUFFALO DISTRICT OFFICE,4,1888700,1160900,472175.0,61.47
Town and Country CU,Minot,ND,875,NORTH DAKOTA DISTRICT OFFICE,10,1886600,1191200,188660.0,63.14
"LendingClub Bank, National Association",Lehi,UT,507,ILLINOIS DISTRICT OFFICE,2,1883000,1412250,941500.0,75.0
First Bank of the Lake,Osage Beach,MO,883,UTAH DISTRICT OFFICE,6,1881300,1425975,313550.0,75.8
Countybank,Greenwood,SC,460,NORTH CAROLINA DISTRICT OFFICE,3,1881000,1410750,627000.0,75.0
MidFirst Bank,Oklahoma City,OK,811,COLORADO DISTRICT OFFICE,3,1881000,1410750,627000.0,75.0
Somerset Trust Company,Somerset,PA,358,PITTSBURGH DISTRICT OFFICE,9,1880700,1140350,208966.67,60.63
American Continental Bank,City Of Industry,CA,944,NEVADA DISTRICT OFFICE,2,1880000,1410000,940000.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,920,SANTA ANA DISTRICT OFFICE,5,1880000,1083750,376000.0,57.65
Gulf Coast Bank and Trust Company,New Orleans,LA,304,RICHMOND DISTRICT OFFICE,2,1877400,1408050,938700.0,75.0
"Capital Bank, National Association",Rockville,MD,671,HOUSTON DISTRICT OFFICE,2,1876600,1407450,938300.0,75.0
Enterprise Bank & Trust,Clayton,MO,373,BALTIMORE DISTRICT OFFICE,1,1872100,1404075,1872100.0,75.0
CIBC Bank USA,Chicago,IL,353,WASHINGTON DISTRICT OFFICE,2,1871500,1353625,935750.0,72.33
Kellogg Community CU,Battle Creek,MI,515,MICHIGAN DISTRICT OFFICE,7,1869000,1430000,267000.0,76.51
Fifth Third Bank,Cincinnati,OH,248,SYRACUSE DISTRICT OFFICE,1,1867000,1400250,1867000.0,75.0
Umpqua Bank,Roseburg,OR,1087,BOISE DISTRICT OFFICE,46,1865900,932950,40563.04,50.0
Community National Bank & Trust,Chanute,KS,767,WICHITA DISTRICT OFFICE,3,1865000,1377800,621666.67,73.88
1st Capital Bank,Salinas,CA,942,FRESNO DISTRICT OFFICE,4,1864500,1427775,466125.0,76.58
Citizens Bank,Elizabethton,TN,942,FRESNO DISTRICT OFFICE,4,1864500,1398375,466125.0,75.0
First Financial Bank,Abilene,TX,671,HOUSTON DISTRICT OFFICE,4,1862300,1396725,465575.0,75.0
Truliant FCU,Winston Salem,NC,101,MASSACHUSETTS DISTRICT OFFICE,1,1860700,1395525,1860700.0,75.0
New York Business Development Corporation,Albany,NY,296,BUFFALO DISTRICT OFFICE,3,1860000,1395000,620000.0,75.0
The First National Bank of Absecon,Absecon,NJ,299,NEW JERSEY DISTRICT OFFICE,1,1859000,1394250,1859000.0,75.0
Citizens Bank,Elizabethton,TN,768,ST. LOUIS DISTRICT OFFICE,3,1856400,1392300,618800.0,75.0
Open Bank,Los Angeles,CA,682,NEW MEXICO DISTRICT OFFICE,2,1856000,1163335,928000.0,62.68
Security State Bank & Trust,Fredericksburg,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,3,1856000,1392000,618666.67,75.0
Sunflower Bank National Association,Dallas,TX,811,COLORADO DISTRICT OFFICE,1,1855100,1391325,1855100.0,75.0
KeyBank National Association,Cleveland,OH,455,SOUTH FLORIDA DISTRICT OFFICE,2,1854000,1390500,927000.0,75.0
First Financial Bank,El Dorado,AR,681,SAN ANTONIO DISTRICT OFFICE,2,1852000,1389000,926000.0,75.0
Community Bank Delaware,Lewes,DE,341,DELAWARE DISTRICT OFFICE,1,1850000,1387500,1850000.0,75.0
Hanmi Bank,Los Angeles,CA,296,BUFFALO DISTRICT OFFICE,1,1850000,1387500,1850000.0,75.0
The MINT National Bank,Kingwood,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,1,1850000,1387500,1850000.0,75.0
Rayne State Bank & Trust Company,Rayne,LA,679,LOUISIANA DISTRICT OFFICE,2,1850000,1392500,925000.0,75.27
Republic Bank & Trust Company,Louisville,KY,593,COLUMBUS DISTRICT OFFICE,4,1849000,1311750,462250.0,70.94
Busey Bank,Champaign,IL,988,ARIZONA DISTRICT OFFICE,2,1845000,1383750,922500.0,75.0
FFB Bank,Fresno,CA,1013,SEATTLE DISTRICT OFFICE,2,1844000,1283000,922000.0,69.58
"VelocitySBA, LLC",Costa Mesa,CA,669,ARKANSAS DISTRICT OFFICE,2,1842400,1381800,921200.0,75.0
Bankwell Bank,New Canaan,CT,610,DALLAS / FT WORTH DISTRICT OFFICE,1,1840000,1380000,1840000.0,75.0
Hanover Community Bank,Mineola,NY,811,COLORADO DISTRICT OFFICE,3,1833900,1390425,611300.0,75.82
All Capital Bank,Locust Grove,OK,897,WYOMING DISTRICT OFFICE,1,1833000,1374750,1833000.0,75.0
First Merchants Bank,Indianapolis,IN,515,MICHIGAN DISTRICT OFFICE,23,1830400,1093590,79582.61,59.75
First Business Bank,Madison,WI,944,NEVADA DISTRICT OFFICE,1,1830000,1372500,1830000.0,75.0
Gulf Coast Bank and Trust Company,New Orleans,LA,202,NEW YORK DISTRICT OFFICE,4,1829700,1322275,457425.0,72.27
HomeTrust Bank,Asheville,NC,296,BUFFALO DISTRICT OFFICE,1,1827000,1370250,1827000.0,75.0
"PNC Bank, National Association",Wilmington,DE,491,NORTH FLORIDA DISTRICT OFFICE,22,1826000,1220750,83000.0,66.85
First State Bank Nebraska,Lincoln,NE,593,COLUMBUS DISTRICT OFFICE,5,1826000,1334500,365200.0,73.08
Enterprise Bank & Trust,Clayton,MO,460,NORTH CAROLINA DISTRICT OFFICE,2,1824000,1368000,912000.0,75.0
Seacoast National Bank,Stuart,FL,299,NEW JERSEY DISTRICT OFFICE,2,1823000,1367250,911500.0,75.0
CDC Small Business Finance Corporation,San Diego,CA,610,DALLAS / FT WORTH DISTRICT OFFICE,16,1822200,1503170,113887.5,82.49
"American Bank, National Association",Dallas,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,2,1821000,1365750,910500.0,75.0
Northeast Bank,Lewiston,ME,470,MISSISSIPPI DISTRICT OFFICE,20,1815800,1518430,90790.0,83.62
Trenton Business Assistance Corporation,Princeton,NJ,299,NEW JERSEY DISTRICT OFFICE,15,1813500,1461475,120900.0,80.59
Cross River Bank,Teaneck,NJ,202,NEW YORK DISTRICT OFFICE,3,1813000,1359750,604333.33,75.0
Umpqua Bank,Roseburg,OR,912,SAN FRANCISCO DISTRICT OFFICE,33,1811700,1030850,54900.0,56.9
Banc of California,Los Angeles,CA,944,NEVADA DISTRICT OFFICE,2,1810800,1358100,905400.0,75.0
Bell Bank,Fargo,ND,875,NORTH DAKOTA DISTRICT OFFICE,4,1810400,1320300,452600.0,72.93
United Community Bank,Chatham,IL,507,ILLINOIS DISTRICT OFFICE,3,1807500,1261875,602500.0,69.81
"United Midwest Savings Bank, National Association",De Graff,OH,373,BALTIMORE DISTRICT OFFICE,8,1807000,1432750,225875.0,79.29
BMO Bank National Association,Chicago,IL,1087,BOISE DISTRICT OFFICE,2,1805500,1354125,902750.0,75.0
Cadence Bank,Tupelo,MS,942,FRESNO DISTRICT OFFICE,8,1805000,1373250,225625.0,76.08
Commonwealth Business Bank,Los Angeles,CA,680,OKLAHOMA DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
Paragon Bank,Memphis,TN,885,MONTANA DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
PCB Bank,Los Angeles,CA,671,HOUSTON DISTRICT OFFICE,2,1800000,1350000,900000.0,75.0
"Wilmington Savings Fund Society, FSB",Wilmington,DE,920,SANTA ANA DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
Berkshire Bank,Pittsfield,MA,457,KENTUCKY DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
"Citizens Bank, National Association",Providence,RI,549,CLEVELAND DISTRICT OFFICE,5,1800000,1174650,360000.0,65.26
Dominion Bank,Dallas,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,2,1800000,1350000,900000.0,75.0
Hanover Community Bank,Mineola,NY,304,RICHMOND DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
BayFirst National Bank,Saint Petersburg,FL,639,LOWER RIO GRANDE VALLEY DISTRICT OFFICE,12,1800000,1530000,150000.0,85.0
Valley Bank of Ronan,Ronan,MT,954,SAN DIEGO DISTRICT OFFICE,1,1800000,1350000,1800000.0,75.0
Everwise Credit Union,South Bend,IN,680,OKLAHOMA DISTRICT OFFICE,1,1798000,1348500,1798000.0,75.0
Truliant FCU,Winston Salem,NC,942,FRESNO DISTRICT OFFICE,1,1796300,1347225,1796300.0,75.0
Gainey Business Bank,Scottsdale,AZ,988,ARIZONA DISTRICT OFFICE,2,1795000,1346250,897500.0,75.0
Northeast Bank,Lewiston,ME,951,HAWAII DISTRICT OFFICE,20,1791900,1440955,89595.0,80.41
Mission Valley Bank,Sun Valley,CA,507,ILLINOIS DISTRICT OFFICE,1,1791500,1343625,1791500.0,75.0
Armstrong Bank,Muskogee,OK,680,OKLAHOMA DISTRICT OFFICE,4,1790000,1332500,447500.0,74.44
"Grow America Fund, Incorporated",New York,NY,1013,SEATTLE DISTRICT OFFICE,3,1790000,1357500,596666.67,75.84
The Fidelity Bank,Fuquay Varina,NC,671,HOUSTON DISTRICT OFFICE,1,1789800,1342350,1789800.0,75.0
Time Bank,Park Ridge,IL,507,ILLINOIS DISTRICT OFFICE,6,1789000,1359250,298166.67,75.98
Citizens Bank,Elizabethton,TN,101,MASSACHUSETTS DISTRICT OFFICE,3,1788900,1341675,596300.0,75.0
First Horizon Bank,Memphis,TN,679,LOUISIANA DISTRICT OFFICE,4,1786400,1314800,446600.0,73.6
"Bank of Bridger, National Association",Bridger,MT,897,WYOMING DISTRICT OFFICE,6,1785100,1341825,297516.67,75.17
Dogwood State Bank,Raleigh,NC,464,SOUTH CAROLINA DISTRICT OFFICE,6,1783500,1339275,297250.0,75.09
American Momentum Bank,College Station,TX,593,COLUMBUS DISTRICT OFFICE,1,1781000,1335750,1781000.0,75.0
City Bank & Trust Co.,Lincoln,NE,766,NEBRASKA DISTRICT OFFICE,2,1780000,1335000,890000.0,75.0
Merchants Bank of Indiana,Carmel,IN,671,HOUSTON DISTRICT OFFICE,5,1779800,1334850,355960.0,75.0
Hanover Community Bank,Mineola,NY,373,BALTIMORE DISTRICT OFFICE,2,1778000,1333500,889000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,189,NEW HAMPSHIRE DISTRICT OFFICE,10,1778000,1345000,177800.0,75.65
First Savings Bank,Jeffersonville,IN,639,LOWER RIO GRANDE VALLEY DISTRICT OFFICE,1,1776000,1332000,1776000.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,811,COLORADO DISTRICT OFFICE,2,1776000,1234750,888000.0,69.52
First Fed Bank,Port Angeles,WA,1013,SEATTLE DISTRICT OFFICE,3,1775000,1331250,591666.67,75.0
Security State Bank & Trust,Fredericksburg,TX,671,HOUSTON DISTRICT OFFICE,3,1774000,1355500,591333.33,76.41
BayFirst National Bank,Saint Petersburg,FL,296,BUFFALO DISTRICT OFFICE,11,1773300,1468305,161209.09,82.8
Bank Five Nine,Oconomowoc,WI,101,MASSACHUSETTS DISTRICT OFFICE,2,1770000,1327500,885000.0,75.0
Seacoast National Bank,Stuart,FL,680,OKLAHOMA DISTRICT OFFICE,1,1768100,1326075,1768100.0,75.0
"Capital One, National Association",Mclean,VA,914,LOS ANGELES DISTRICT OFFICE,5,1767300,950725,353460.0,53.8
Community Bank & Trust-West Georgia,Lagrange,GA,459,ALABAMA DISTRICT OFFICE,3,1767000,1325250,589000.0,75.0
Freedom Financial Bank,West Des Moines,IA,761,DES MOINES DISTRICT OFFICE,1,1766000,1324500,1766000.0,75.0
Eclipse Bank Inc,Louisville,KY,457,KENTUCKY DISTRICT OFFICE,1,1760000,1320000,1760000.0,75.0
American Bank,Covington,LA,459,ALABAMA DISTRICT OFFICE,1,1758500,1318875,1758500.0,75.0
First Community Bank,Bluefield,VA,390,WEST VIRGINIA DISTRICT OFFICE,14,1757400,1021675,125528.57,58.14
Celtic Bank Corporation,Salt Lake City,UT,1087,BOISE DISTRICT OFFICE,5,1756100,1362075,351220.0,77.56
Renasant Bank,Tupelo,MS,457,KENTUCKY DISTRICT OFFICE,1,1755000,1316250,1755000.0,75.0
American Bank of Commerce,Wolfforth,TX,681,SAN ANTONIO DISTRICT OFFICE,4,1753900,1282925,438475.0,73.15
Old National Bank,Evansville,IN,549,CLEVELAND DISTRICT OFFICE,2,1751500,1238625,875750.0,70.72
Live Oak Banking Company,Wilmington,NC,341,DELAWARE DISTRICT OFFICE,3,1750000,1327500,583333.33,75.86
Regent Bank,Tulsa,OK,681,SAN ANTONIO DISTRICT OFFICE,1,1750000,1312500,1750000.0,75.0
HTLF Bank,Denver,CO,682,NEW MEXICO DISTRICT OFFICE,5,1750000,1262500,350000.0,72.14
Encore Bank,Little Rock,AR,474,TENNESSEE DISTRICT OFFICE,4,1749900,1274925,437475.0,72.86
Valley First CU,Modesto,CA,942,FRESNO DISTRICT OFFICE,6,1749800,1338850,291633.33,76.51
Banc of California,Los Angeles,CA,811,COLORADO DISTRICT OFFICE,1,1746000,1309500,1746000.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,1086,PORTLAND DISTRICT OFFICE,12,1745700,1433845,145475.0,82.14
"Leader Bank, National Association",Arlington,MA,455,SOUTH FLORIDA DISTRICT OFFICE,2,1744200,1308150,872100.0,75.0
IncredibleBank,Wausau,WI,515,MICHIGAN DISTRICT OFFICE,2,1741000,1305750,870500.0,75.0
First Bank of the Lake,Osage Beach,MO,768,ST. LOUIS DISTRICT OFFICE,6,1740100,1350075,290016.67,77.59
Hometown Bank,Kent,OH,474,TENNESSEE DISTRICT OFFICE,1,1738300,1303725,1738300.0,75.0
Gulf Coast Bank and Trust Company,New Orleans,LA,679,LOUISIANA DISTRICT OFFICE,2,1738000,1303500,869000.0,75.0
First National Bank of Pennsylvania,Greenville,PA,405,GEORGIA DISTRICT OFFICE,3,1737000,1265250,579000.0,72.84
First National Bank of Omaha,Omaha,NE,610,DALLAS / FT WORTH DISTRICT OFFICE,3,1736000,1302000,578666.67,75.0
22nd State Bank,Louisville,AL,563,WISCONSIN DISTRICT OFFICE,2,1735400,1301550,867700.0,75.0
Merchants Bank of Indiana,Carmel,IN,101,MASSACHUSETTS DISTRICT OFFICE,2,1735000,1301250,867500.0,75.0
Open Bank,Los Angeles,CA,373,BALTIMORE DISTRICT OFFICE,1,1735000,1301250,1735000.0,75.0
Merchants Bank of Indiana,Carmel,IN,1013,SEATTLE DISTRICT OFFICE,3,1734500,1300875,578166.67,75.0
Merchants Commercial Bank,Charlotte Amalie,VI,252,PUERTO RICO AND USVI DISTRICT OFFICE,8,1734000,1106100,216750.0,63.79
First Savings Bank,Jeffersonville,IN,202,NEW YORK DISTRICT OFFICE,2,1730000,1305500,865000.0,75.46
Peoples Bank & Trust,Buford,GA,405,GEORGIA DISTRICT OFFICE,2,1729500,1312125,864750.0,75.87
Truliant FCU,Winston Salem,NC,709,KANSAS CITY DISTRICT OFFICE,1,1726000,1294500,1726000.0,75.0
Citizens Bank,Elizabethton,TN,562,INDIANA DISTRICT OFFICE,3,1726000,1309500,575333.33,75.87
"Grow America Fund, Incorporated",New York,NY,341,DELAWARE DISTRICT OFFICE,4,1726000,1304500,431500.0,75.58
Berkshire Bank,Pittsfield,MA,931,SACRAMENTO DISTRICT OFFICE,1,1725000,1293750,1725000.0,75.0
"Newtek Bank, National Association",Miami,FL,677,EL PASO DISTRICT OFFICE,5,1725000,1311250,345000.0,76.01
University Bank,Ann Arbor,MI,455,SOUTH FLORIDA DISTRICT OFFICE,2,1723400,1292550,861700.0,75.0
Kennebunk Savings Bank,Kennebunk,ME,189,NEW HAMPSHIRE DISTRICT OFFICE,9,1723200,1137350,191466.67,66.0
First Internet Bank of Indiana,Fishers,IN,761,DES MOINES DISTRICT OFFICE,2,1722000,1166500,861000.0,67.74
Seacoast National Bank,Stuart,FL,885,MONTANA DISTRICT OFFICE,1,1720000,1290000,1720000.0,75.0
First Command Bank,Fort Worth,TX,610,DALLAS / FT WORTH DISTRICT OFFICE,5,1720000,1279000,344000.0,74.36
Montana Community Development Corp.,Missoula,MT,1087,BOISE DISTRICT OFFICE,12,1719600,1293360,143300.0,75.21
Texas Capital Bank,Dallas,TX,681,SAN ANTONIO DISTRICT OFFICE,3,1719000,1226750,573000.0,71.36
"Readycap Lending, LLC",Berkeley Heights,NJ,709,KANSAS CITY DISTRICT OFFICE,23,1713700,1365525,74508.7,79.68
Oakworth Capital Bank,Birmingham,AL,459,ALABAMA DISTRICT OFFICE,2,1713500,1285125,856750.0,75.0
22nd State Bank,Louisville,AL,248,SYRACUSE DISTRICT OFFICE,1,1712900,1284675,1712900.0,75.0
FFB Bank,Fresno,CA,954,SAN DIEGO DISTRICT OFFICE,2,1712000,1234000,856000.0,72.08
Citizens State Bank of La Crosse,La Crosse,WI,563,WISCONSIN DISTRICT OFFICE,6,1711000,1270700,285166.67,74.27
Community State Bank,Galva,IL,507,ILLINOIS DISTRICT OFFICE,3,1710000,1290770,570000.0,75.48
"Heritage Bank, Inc.",Burlington,KY,876,SOUTH DAKOTA DISTRICT OFFICE,1,1710000,1282500,1710000.0,75.0
First United Bank and Trust Company,Durant,OK,681,SAN ANTONIO DISTRICT OFFICE,3,1707600,1280700,569200.0,75.0
"Wintrust Bank, National Association",Chicago,IL,507,ILLINOIS DISTRICT OFFICE,5,1705000,1028750,341000.0,60.34
Meridian Bank,Malvern,PA,460,NORTH CAROLINA DISTRICT OFFICE,4,1704800,1266100,426200.0,74.27
"United Midwest Savings Bank, National Association",De Graff,OH,248,SYRACUSE DISTRICT OFFICE,3,1704000,1293000,568000.0,75.88
KeyBank National Association,Cleveland,OH,491,NORTH FLORIDA DISTRICT OFFICE,2,1704000,1278000,852000.0,75.0
First Chatham Bank,Savannah,GA,373,BALTIMORE DISTRICT OFFICE,3,1702000,1276500,567333.33,75.0
Union Bank and Trust Company,Lincoln,NE,491,NORTH FLORIDA DISTRICT OFFICE,2,1702000,1276500,851000.0,75.0
"First Bankers Trust Company, National Association",Quincy,IL,507,ILLINOIS DISTRICT OFFICE,6,1701000,1242000,283500.0,73.02
GBC International Bank,Los Angeles,CA,920,SANTA ANA DISTRICT OFFICE,4,1700000,1455000,425000.0,85.59
Comerica Bank,Dallas,TX,920,SANTA ANA DISTRICT OFFICE,6,1700000,850000,283333.33,50.0
Truliant FCU,Winston Salem,NC,679,LOUISIANA DISTRICT OFFICE,1,1700000,1275000,1700000.0,75.0
BMO Bank National Association,Chicago,IL,515,MICHIGAN DISTRICT OFFICE,1,1700000,1275000,1700000.0,75.0
