lender,lender_city,lender_state,project_state,project_county,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
Celtic Bank Corporation,Salt Lake City,UT,TX,WICHITA,1,512500,384375.0,512500.0,75.0
BayFirst National Bank,Saint Petersburg,FL,VA,VIRGINIA BEACH CITY,4,512300,435455.0,128075.0,85.0
The Huntington National Bank,Columbus,OH,MN,OLMSTED,4,512000,378200.0,128000.0,73.87
b1BANK,Baton Rouge,LA,LA,CALCASIEU,2,512000,384000.0,256000.0,75.0
Northeast Bank,Lewiston,ME,NV,WASHOE,8,511500,409775.0,63937.5,80.11
Vermont FCU,Burlington,VT,VT,CHITTENDEN,6,511200,255600.0,85200.0,50.0
Hanover Community Bank,Mineola,NY,TX,MCLENNAN,2,511000,390750.0,255500.0,76.47
Northeast Bank,Lewiston,ME,MN,HENNEPIN,5,510600,409010.0,102120.0,80.1
Citizens Bank,Elizabethton,TN,PA,PHILADELPHIA,1,510400,382800.0,510400.0,75.0
"U.S. Bank, National Association",Cincinnati,OH,KY,OLDHAM,2,510100,376325.0,255050.0,73.77
"First Mid Bank & Trust, National Association",Mattoon,IL,IL,LAKE,2,510000,320000.0,255000.0,62.75
First IC Bank,Doraville,GA,MN,RAMSEY,1,510000,382500.0,510000.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,CA,PLACER,1,510000,382500.0,510000.0,75.0
Bank of Hope,Los Angeles,CA,GA,COBB,1,510000,382500.0,510000.0,75.0
Third Coast Bank,Humble,TX,TX,NUECES,1,510000,382500.0,510000.0,75.0
"VelocitySBA, LLC",Costa Mesa,CA,PA,LANCASTER,1,510000,382500.0,510000.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,FL,HERNANDO,3,510000,373750.0,170000.0,73.28
"Newtek Bank, National Association",Miami,FL,IA,SCOTT,2,510000,382500.0,255000.0,75.0
First National Bank of Michigan,Kalamazoo,MI,MI,GRAND TRAVERSE,1,510000,382500.0,510000.0,75.0
Meridian Bank,Malvern,PA,DE,KENT,1,510000,382500.0,510000.0,75.0
"SouthState Bank, National Association",Winter Haven,FL,MD,ANNE ARUNDEL,2,510000,382500.0,255000.0,75.0
Central State Bank,Calera,AL,AL,JEFFERSON,1,510000,382500.0,510000.0,75.0
Cadence Bank,Tupelo,MS,MA,NORFOLK,2,510000,382500.0,255000.0,75.0
Seacoast National Bank,Stuart,FL,FL,SAINT LUCIE,2,510000,382500.0,255000.0,75.0
Enterprise Bank & Trust,Clayton,MO,FL,POLK,1,510000,382500.0,510000.0,75.0
D. L. Evans Bank,Burley,ID,ID,BLAINE,7,510000,263750.0,72857.14,51.72
Cache Valley Bank,Logan,UT,UT,WEBER,4,510000,328500.0,127500.0,64.41
The Riddell National Bank,Brazil,IN,IN,VIGO,2,510000,345000.0,255000.0,67.65
The Huntington National Bank,Columbus,OH,IN,PORTER,3,510000,358750.0,170000.0,70.34
Ponce Bank,New York City,NY,NJ,MONMOUTH,1,510000,382500.0,510000.0,75.0
"SouthState Bank, National Association",Winter Haven,FL,FL,OKEECHOBEE,2,510000,387600.0,255000.0,76.0
Saratoga National Bank and Trust Company,Saratoga Springs,NY,NY,RENSSELAER,6,510000,255000.0,85000.0,50.0
Stone Bank,Mountain View,AR,TX,WOOD,1,510000,382500.0,510000.0,75.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,NC,IREDELL,1,510000,382500.0,510000.0,75.0
Live Oak Banking Company,Wilmington,NC,IA,DES MOINES,1,510000,382500.0,510000.0,75.0
Southern Bancorp Bank,Arkadelphia,AR,AR,ARKANSAS,3,509500,347675.0,169833.33,68.24
CalPrivate Bank,La Jolla,CA,CA,CONTRA COSTA,1,509200,381900.0,509200.0,75.0
Arvest Bank,Fayetteville,AR,OK,OKLAHOMA,2,509000,369250.0,254500.0,72.54
First Chatham Bank,Savannah,GA,NJ,MERCER,1,509000,381750.0,509000.0,75.0
Fifth Third Bank,Cincinnati,OH,PA,PHILADELPHIA,1,509000,381750.0,509000.0,75.0
Bank OZK,Little Rock,AR,FL,MANATEE,2,509000,338000.0,254500.0,66.4
Pinnacle Bank,Nashville,TN,GA,HALL,1,509000,381750.0,509000.0,75.0
"U.S. Bank, National Association",Cincinnati,OH,NE,DOUGLAS,19,508300,254150.0,26752.63,50.0
The Huntington National Bank,Columbus,OH,KY,CAMPBELL,5,508200,338650.0,101640.0,66.64
Arvest Bank,Fayetteville,AR,OK,DELAWARE,1,508000,381000.0,508000.0,75.0
First Internet Bank of Indiana,Fishers,IN,UT,DAVIS,2,508000,368500.0,254000.0,72.54
City National Bank,Los Angeles,CA,WY,LARAMIE,1,508000,381000.0,508000.0,75.0
"United Midwest Savings Bank, National Association",De Graff,OH,IL,MCHENRY,2,508000,381000.0,254000.0,75.0
Byline Bank,Chicago,IL,MN,SAINT LOUIS,1,508000,381000.0,508000.0,75.0
"TD Bank, National Association",Wilmington,DE,VT,FRANKLIN,4,507700,253850.0,126925.0,50.0
"U.S. Bank, National Association",Cincinnati,OH,WA,CLARK,9,507600,297900.0,56400.0,58.69
"LendingClub Bank, National Association",Lehi,UT,OR,LANE,2,507500,355625.0,253750.0,70.07
Encore Bank,Little Rock,AR,TX,DALLAS,1,507000,380250.0,507000.0,75.0
BayFirst National Bank,Saint Petersburg,FL,OR,MARION,4,506600,430610.0,126650.0,85.0
Colony Bank,Fitzgerald,GA,NJ,HUDSON,4,506000,430100.0,126500.0,85.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,GA,FORSYTH,3,506000,374500.0,168666.67,74.01
Fifth Third Bank,Cincinnati,OH,FL,MANATEE,1,505500,379125.0,505500.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,VA,RICHMOND CITY,2,505000,375000.0,252500.0,74.26
Sullivan Bank,Sullivan,MO,MO,FRANKLIN,2,505000,252500.0,252500.0,50.0
Celtic Bank Corporation,Salt Lake City,UT,CA,MARIN,4,505000,429250.0,126250.0,85.0
Cadence Bank,Tupelo,MS,TN,MADISON,1,505000,378750.0,505000.0,75.0
Gainey Business Bank,Scottsdale,AZ,AZ,MARICOPA,1,505000,378750.0,505000.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,OR,LANE,2,505000,376250.0,252500.0,74.5
Legence Bank,Eldorado,IL,IN,VANDERBURGH,3,505000,372750.0,168333.33,73.81
American Bank of Freedom,Wellsville,MO,MO,JEFFERSON,1,505000,378750.0,505000.0,75.0
"Newtek Bank, National Association",Miami,FL,GA,CARROLL,3,505000,394250.0,168333.33,78.07
"Newtek Bank, National Association",Miami,FL,MO,JEFFERSON,3,505000,352500.0,168333.33,69.8
Savings Bank of Danbury,Danbury,CT,CT,GREATER BRIDGEPORT,2,505000,316250.0,252500.0,62.62
The Huntington National Bank,Columbus,OH,AL,BALDWIN,2,505000,371250.0,252500.0,73.51
Camden National Bank,Camden,ME,NH,GRAFTON,2,505000,252500.0,252500.0,50.0
Citizens Community Federal National Association,Altoona,WI,WI,MONROE,2,504700,386085.0,252350.0,76.5
Northeast Bank,Lewiston,ME,CO,EL PASO,6,504500,403825.0,84083.33,80.04
First Bank of the Lake,Osage Beach,MO,CA,SAN BERNARDINO,3,504100,408075.0,168033.33,80.95
Berkshire Bank,Pittsfield,MA,TX,BRAZORIA,2,504000,371750.0,252000.0,73.76
American Momentum Bank,College Station,TX,NC,ONSLOW,1,504000,378000.0,504000.0,75.0
BayFirst National Bank,Saint Petersburg,FL,TN,RUTHERFORD,2,504000,378000.0,252000.0,75.0
The Huntington National Bank,Columbus,OH,VA,PRINCE WILLIAM,2,504000,353000.0,252000.0,70.04
The Central Trust Bank,Jefferson City,MO,MO,CASS,2,504000,353000.0,252000.0,70.04
City National Bank,Los Angeles,CA,MA,SUFFOLK,2,504000,378000.0,252000.0,75.0
RiverBank,Pocahontas,AR,AR,RANDOLPH,7,502000,251000.0,71714.29,50.0
Stock Yards Bank & Trust Company,Louisville,KY,SC,BEAUFORT,2,501900,358925.0,250950.0,71.51
Midland States Bank,Effingham,IL,IL,KANE,3,501600,391200.0,167200.0,77.99
First Bank of the Lake,Osage Beach,MO,CO,ADAMS,3,501600,406200.0,167200.0,80.98
KeyBank National Association,Cleveland,OH,PA,BERKS,3,501500,352000.0,167166.67,70.19
First Savings Bank,Jeffersonville,IN,CT,FAIRFIELD,1,501400,376050.0,501400.0,75.0
"Wells Fargo Bank, National Association",Sioux Falls,SD,CA,TULARE,2,501000,372000.0,250500.0,74.25
Dogwood State Bank,Raleigh,NC,WI,MILWAUKEE,1,500500,375375.0,500500.0,75.0
BayFirst National Bank,Saint Petersburg,FL,GA,COBB,5,500300,425255.0,100060.0,85.0
"Bank of America, National Association",Charlotte,NC,VA,ALEXANDRIA CITY,1,500000,250000.0,500000.0,50.0
Cadence Bank,Tupelo,MS,TX,NUECES,1,500000,375000.0,500000.0,75.0
Citizens Bank,Elizabethton,TN,NC,PITT,1,500000,375000.0,500000.0,75.0
First American Bank,Elk Grove Village,IL,AZ,MARICOPA,1,500000,250000.0,500000.0,50.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,MT,BEAVERHEAD,1,500000,375000.0,500000.0,75.0
"Bremer Bank, National Association",Saint Paul,MN,MN,STEVENS,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,NC,DURHAM,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,HI,HAWAII,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,NY,KINGS,1,500000,375000.0,500000.0,75.0
Hancock Whitney Bank,Gulfport,MS,FL,MANATEE,1,500000,375000.0,500000.0,75.0
OnPoint Community Credit Union,Portland,OR,OR,CLACKAMAS,1,500000,250000.0,500000.0,50.0
American Bank,Covington,LA,LA,OUACHITA,1,500000,375000.0,500000.0,75.0
First Internet Bank of Indiana,Fishers,IN,IA,WAPELLO,1,500000,250000.0,500000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,IL,MCLEAN,1,500000,250000.0,500000.0,50.0
"Newtek Bank, National Association",Miami,FL,GA,UNION,1,500000,375000.0,500000.0,75.0
Five Star Bank,Rancho Cordova,CA,CA,SAN DIEGO,1,500000,375000.0,500000.0,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,NY,OSWEGO,1,500000,375000.0,500000.0,75.0
Old Glory Bank,Elmore City,OK,IL,COOK,1,500000,375000.0,500000.0,75.0
West Town Bank & Trust,North Riverside,IL,MI,OAKLAND,1,500000,375000.0,500000.0,75.0
1st Source Bank,South Bend,IN,IN,LAKE,1,500000,250000.0,500000.0,50.0
City National Bank of Florida,Miami,FL,IA,CERRO GORDO,1,500000,375000.0,500000.0,75.0
FinWise Bank,Sandy,UT,NY,SULLIVAN,2,500000,390000.0,250000.0,78.0
Cadence Bank,Tupelo,MS,GA,MADISON,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,MO,CASS,1,500000,375000.0,500000.0,75.0
Milestone Bank,Salt Lake City,UT,TX,BEXAR,1,500000,375000.0,500000.0,75.0
Pacific National Bank,Miami,FL,FL,MIAMI-DADE,1,500000,250000.0,500000.0,50.0
Firstrust Savings Bank,Conshohocken,PA,NY,SUFFOLK,1,500000,250000.0,500000.0,50.0
"SouthState Bank, National Association",Winter Haven,FL,TN,PUTNAM,1,500000,375000.0,500000.0,75.0
Veritex Community Bank,Dallas,TX,PA,LANCASTER,1,500000,375000.0,500000.0,75.0
Citizens Bank,Elizabethton,TN,CO,LARIMER,1,500000,375000.0,500000.0,75.0
KeyBank National Association,Cleveland,OH,VA,VIRGINIA BEACH CITY,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,NH,CHESHIRE,1,500000,375000.0,500000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,SC,ORANGEBURG,1,500000,375000.0,500000.0,75.0
"Village Bank and Trust, National Association",Arlington Heights,IL,TX,MONTGOMERY,1,500000,250000.0,500000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,FL,MARTIN,1,500000,250000.0,500000.0,50.0
"PNC Bank, National Association",Wilmington,DE,NY,WESTCHESTER,1,500000,375000.0,500000.0,75.0
Union Bank and Trust Company,Lincoln,NE,NC,PITT,1,500000,250000.0,500000.0,50.0
"First Financial Bank, National Association",Terre Haute,IN,IL,WOODFORD,1,500000,250000.0,500000.0,50.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,TN,WILSON,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,LA,EAST BATON ROUGE,1,500000,375000.0,500000.0,75.0
Mascoma Bank,Lebanon,NH,VT,WINDSOR,1,500000,375000.0,500000.0,75.0
Midland States Bank,Effingham,IL,IL,COOK,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,MI,GRATIOT,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,NC,RANDOLPH,1,500000,375000.0,500000.0,75.0
"TransPecos Banks, SSB.",Pecos,TX,CO,EAGLE,1,500000,375000.0,500000.0,75.0
Hanover Community Bank,Mineola,NY,MA,ESSEX,1,500000,375000.0,500000.0,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,VA,VIRGINIA BEACH CITY,1,500000,375000.0,500000.0,75.0
Pinnacle Bank,Nashville,TN,NC,WILKES,1,500000,375000.0,500000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NM,TAOS,1,500000,375000.0,500000.0,75.0
Truliant FCU,Winston Salem,NC,PA,DELAWARE,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,OH,CUYAHOGA,1,500000,375000.0,500000.0,75.0
First Bank of the Lake,Osage Beach,MO,MO,PLATTE,1,500000,375000.0,500000.0,75.0
First Bank of the Lake,Osage Beach,MO,NJ,UNION,2,500000,390000.0,250000.0,78.0
"Lendistry SBLC, LLC",Los Angeles,CA,AL,BARBOUR,1,500000,375000.0,500000.0,75.0
Southwestern National Bank,Houston,TX,NV,CLARK,1,500000,375000.0,500000.0,75.0
Bank3,Memphis,TN,AR,CRITTENDEN,1,500000,375000.0,500000.0,75.0
Byline Bank,Chicago,IL,FL,HILLSBOROUGH,1,500000,375000.0,500000.0,75.0
"First Mid Bank & Trust, National Association",Mattoon,IL,IL,WILL,1,500000,375000.0,500000.0,75.0
Wallis Bank,Wallis,TX,TX,BRAZOS,1,500000,375000.0,500000.0,75.0
West Town Bank & Trust,North Riverside,IL,LA,EAST BATON ROUGE,1,500000,375000.0,500000.0,75.0
Byline Bank,Chicago,IL,PA,CHESTER,1,500000,250000.0,500000.0,50.0
Lake Michigan CU,Grand Rapids,MI,FL,BROWARD,1,500000,375000.0,500000.0,75.0
PCB Bank,Los Angeles,CA,TX,TRAVIS,1,500000,375000.0,500000.0,75.0
Shoreham Bank,Warwick,RI,TX,TARRANT,1,500000,375000.0,500000.0,75.0
The Lowell Five Cent Savings Bank,Tewksbury,MA,MA,ESSEX,1,500000,375000.0,500000.0,75.0
Bank of Hope,Los Angeles,CA,CA,SAN MATEO,1,500000,375000.0,500000.0,75.0
First Federal Savings Bank,Evansville,IN,IN,GIBSON,1,500000,250000.0,500000.0,50.0
Ion Bank,Naugatuck,CT,CT,NEW HAVEN,1,500000,375000.0,500000.0,75.0
KeyBank National Association,Cleveland,OH,AK,KODIAK ISLAND,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,AR,FAULKNER,2,500000,375000.0,250000.0,75.0
"Newtek Bank, National Association",Miami,FL,MI,OSCEOLA,1,500000,375000.0,500000.0,75.0
"VelocitySBA, LLC",Costa Mesa,CA,WA,SKAGIT,1,500000,375000.0,500000.0,75.0
Mid Penn Bank,Millersburg,PA,PA,LEBANON,2,500000,350000.0,250000.0,70.0
City National Bank of Florida,Miami,FL,MA,SUFFOLK,1,500000,375000.0,500000.0,75.0
Stearns Bank National Association,Saint Cloud,MN,NC,MOORE,1,500000,375000.0,500000.0,75.0
"Wilmington Savings Fund Society, FSB",Wilmington,DE,NJ,MIDDLESEX,3,500000,356250.0,166666.67,71.25
"Newtek Bank, National Association",Miami,FL,LA,RAPIDES,1,500000,375000.0,500000.0,75.0
"Citizens Bank, National Association",Providence,RI,RI,PROVIDENCE,1,500000,250000.0,500000.0,50.0
City State Bank,Norwalk,IA,IA,WARREN,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,MA,HAMPDEN,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,WI,ROCK,1,500000,375000.0,500000.0,75.0
"Wintrust Bank, National Association",Chicago,IL,IL,DUPAGE,1,500000,250000.0,500000.0,50.0
Bank Five Nine,Oconomowoc,WI,NC,ALAMANCE,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,CA,ORANGE,1,500000,375000.0,500000.0,75.0
DFCU Financial,Dearborn,MI,MI,WASHTENAW,1,500000,250000.0,500000.0,50.0
First-Citizens Bank & Trust Company,Raleigh,NC,CA,RIVERSIDE,1,500000,250000.0,500000.0,50.0
Holyoke CU,Holyoke,MA,MA,HAMPDEN,1,500000,250000.0,500000.0,50.0
"Lendistry SBLC, LLC",Los Angeles,CA,TX,EL PASO,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,NM,GRANT,1,500000,375000.0,500000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,SC,LEXINGTON,1,500000,375000.0,500000.0,75.0
Five Star Bank,Rancho Cordova,CA,CA,SAN BERNARDINO,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,WA,THURSTON,1,500000,375000.0,500000.0,75.0
Dogwood State Bank,Raleigh,NC,TX,WILLIAMSON,1,500000,375000.0,500000.0,75.0
East West Bank,Pasadena,CA,CA,PLACER,1,500000,375000.0,500000.0,75.0
First Financial Bank,El Dorado,AR,AL,LAUDERDALE,1,500000,375000.0,500000.0,75.0
The Park National Bank,Newark,OH,OH,MIAMI,1,500000,250000.0,500000.0,50.0
"Bank First, N.A.",Manitowoc,WI,IL,COOK,1,500000,250000.0,500000.0,50.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,NC,GUILFORD,1,500000,375000.0,500000.0,75.0
Old National Bank,Evansville,IN,VA,VIRGINIA BEACH CITY,1,500000,375000.0,500000.0,75.0
The Bancorp Bank National Association,Sioux Falls,SD,CT,LOWER CT RIVER VLY,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,FL,HOLMES,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,TX,MONTGOMERY,2,500000,390000.0,250000.0,78.0
Comerica Bank,Dallas,TX,TX,GALVESTON,1,500000,375000.0,500000.0,75.0
"Connecticut Community Bank, National Association",Norwalk,CT,NY,ROCKLAND,1,500000,375000.0,500000.0,75.0
First-Citizens Bank & Trust Company,Raleigh,NC,SC,JASPER,1,500000,250000.0,500000.0,50.0
"Newtek Bank, National Association",Miami,FL,OR,JOSEPHINE,1,500000,375000.0,500000.0,75.0
Pathward National Association,Sioux Falls,SD,WA,KITSAP,1,500000,375000.0,500000.0,75.0
"United Midwest Savings Bank, National Association",De Graff,OH,NC,DURHAM,2,500000,390000.0,250000.0,78.0
Stockman Bank of Montana,Miles City,MT,MT,YELLOWSTONE,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,WA,SNOHOMISH,2,500000,390000.0,250000.0,78.0
Citizens Bank,Elizabethton,TN,NY,RICHMOND,1,500000,375000.0,500000.0,75.0
Fortis Bank,Denver,CO,TX,WILLIAMSON,1,500000,375000.0,500000.0,75.0
"Harvest Small Business Finance, LLC",Laguna Hills,CA,OR,CROOK,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,AK,MATANUSKA SUSITNA,1,500000,375000.0,500000.0,75.0
"SouthState Bank, National Association",Winter Haven,FL,VA,SUFFOLK CITY,1,500000,375000.0,500000.0,75.0
The Callaway Bank,Fulton,MO,MO,GREENE,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,OH,LAKE,2,500000,390000.0,250000.0,78.0
"Capital One, National Association",Mclean,VA,NY,NEW YORK,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,NC,PERSON,1,500000,375000.0,500000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,TN,LAWRENCE,1,500000,375000.0,500000.0,75.0
Triad Business Bank,Greensboro,NC,NC,WAKE,1,500000,375000.0,500000.0,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,IN,HENDRICKS,1,500000,250000.0,500000.0,50.0
Merchants Bank of Indiana,Carmel,IN,VA,BOTETOURT,1,500000,375000.0,500000.0,75.0
New York Business Development Corporation,Albany,NY,NY,CHEMUNG,1,500000,375000.0,500000.0,75.0
BMO Bank National Association,Chicago,IL,CO,ELBERT,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,TX,EL PASO,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,NJ,BERGEN,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,OH,WASHINGTON,1,500000,375000.0,500000.0,75.0
Milestone Bank,Salt Lake City,UT,CO,LARIMER,1,500000,250000.0,500000.0,50.0
BancFirst,Oklahoma City,OK,OK,WAGONER,1,500000,375000.0,500000.0,75.0
Independent Bank,Grand Rapids,MI,MI,WASHTENAW,1,500000,250000.0,500000.0,50.0
The Callaway Bank,Fulton,MO,MO,PHELPS,1,500000,250000.0,500000.0,50.0
Cadence Bank,Tupelo,MS,LA,LIVINGSTON,1,500000,375000.0,500000.0,75.0
Citizens Bank,Elizabethton,TN,FL,COLLIER,1,500000,375000.0,500000.0,75.0
"Citizens Bank, National Association",Providence,RI,FL,BROWARD,1,500000,250000.0,500000.0,50.0
"Blue Ridge Bank, National Association",Martinsville,VA,NC,HARNETT,1,500000,375000.0,500000.0,75.0
First Bank of the Lake,Osage Beach,MO,NH,MERRIMACK,1,500000,375000.0,500000.0,75.0
"Lendistry SBLC, LLC",Los Angeles,CA,IL,KANE,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,TN,RUTHERFORD,1,500000,375000.0,500000.0,75.0
The Huntington National Bank,Columbus,OH,MO,CHRISTIAN,2,500000,362500.0,250000.0,72.5
"Lendistry SBLC, LLC",Los Angeles,CA,TX,ORANGE,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,MI,CALHOUN,1,500000,375000.0,500000.0,75.0
The Callaway Bank,Fulton,MO,MO,JACKSON,1,500000,375000.0,500000.0,75.0
"Newtek Bank, National Association",Miami,FL,KS,SHAWNEE,2,500000,390000.0,250000.0,78.0
OnPoint Community Credit Union,Portland,OR,OR,MULTNOMAH,1,500000,250000.0,500000.0,50.0
Seacoast National Bank,Stuart,FL,FL,MIAMI-DADE,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,FL,MARTIN,1,500000,375000.0,500000.0,75.0
Idaho Central CU,Chubbuck,ID,WA,PEND OREILLE,1,500000,250000.0,500000.0,50.0
West Town Bank & Trust,North Riverside,IL,TX,DENTON,1,500000,375000.0,500000.0,75.0
Cadence Bank,Tupelo,MS,MT,YELLOWSTONE,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,NV,CLARK,1,500000,375000.0,500000.0,75.0
"Clare Bank, National Association",Platteville,WI,MT,FLATHEAD,1,500000,375000.0,500000.0,75.0
First Business Bank,Madison,WI,OH,HAMILTON,1,500000,375000.0,500000.0,75.0
Pathward National Association,Sioux Falls,SD,FL,BROWARD,1,500000,115000.0,500000.0,23.0
"Fulton Bank, National Association",Lancaster,PA,NJ,BERGEN,1,500000,375000.0,500000.0,75.0
The First Security Bank,Beaver,OK,OK,TEXAS,1,500000,250000.0,500000.0,50.0
Bank of Hydro,Hydro,OK,OK,CUSTER,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,VA,SPOTSYLVANIA,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,NC,CLEVELAND,1,500000,375000.0,500000.0,75.0
"UMB Bank, National Association",Kansas City,MO,MO,PETTIS,1,500000,375000.0,500000.0,75.0
"Bank of America, National Association",Charlotte,NC,GA,PAULDING,1,500000,250000.0,500000.0,50.0
Live Oak Banking Company,Wilmington,NC,TX,MIDLAND,1,500000,250000.0,500000.0,50.0
Cadence Bank,Tupelo,MS,CO,WELD,1,500000,375000.0,500000.0,75.0
"Citibank, N.A.",Sioux Falls,SD,CA,SANTA CLARA,1,500000,250000.0,500000.0,50.0
"JPMorgan Chase Bank, National Association",Columbus,OH,NY,TOMPKINS,1,500000,250000.0,500000.0,50.0
Webster Bank National Association,Waterbury,CT,NJ,UNION,2,500000,250000.0,250000.0,50.0
Cadence Bank,Tupelo,MS,TX,WALLER,1,500000,375000.0,500000.0,75.0
Citizens Bank,Elizabethton,TN,NC,WILKES,1,500000,375000.0,500000.0,75.0
Open Bank,Los Angeles,CA,WA,COWLITZ,1,500000,375000.0,500000.0,75.0
"Readycap Lending, LLC",Berkeley Heights,NJ,NJ,CAPE MAY,1,500000,375000.0,500000.0,75.0
Columbia Community CU,Vancouver,WA,WA,CLARK,1,500000,375000.0,500000.0,75.0
Pinnacle Bank,Nashville,TN,GA,DEKALB,2,500000,337500.0,250000.0,67.5
BMO Bank National Association,Chicago,IL,CA,PLACER,1,500000,375000.0,500000.0,75.0
Citizens Bank,Elizabethton,TN,GA,CHATHAM,1,500000,375000.0,500000.0,75.0
City National Bank of Florida,Miami,FL,OH,RICHLAND,1,500000,375000.0,500000.0,75.0
"First Western SBLC, Inc",Dallas,TX,NY,BROOME,1,500000,375000.0,500000.0,75.0
Tompkins Community Bank,Ithaca,NY,PA,MONTGOMERY,2,500000,375000.0,250000.0,75.0
Cadence Bank,Tupelo,MS,FL,HIGHLANDS,1,500000,375000.0,500000.0,75.0
First Commonwealth Bank,Indiana,PA,PA,LYCOMING,1,500000,250000.0,500000.0,50.0
Citizens Bank,Elizabethton,TN,KS,JOHNSON,1,500000,375000.0,500000.0,75.0
Colony Bank,Fitzgerald,GA,MN,RAMSEY,1,500000,375000.0,500000.0,75.0
"Incommons Bank, National Association",Mexia,TX,TX,DALLAS,1,500000,375000.0,500000.0,75.0
Live Oak Banking Company,Wilmington,NC,MO,BUTLER,1,500000,375000.0,500000.0,75.0
Midwest Regional Bank,Festus,MO,FL,POLK,1,500000,375000.0,500000.0,75.0
Northwest Bank,Boise,ID,TX,EL PASO,1,500000,450000.0,500000.0,90.0
Savings Bank of Danbury,Danbury,CT,CT,NW HILLS,1,500000,250000.0,500000.0,50.0
Cadence Bank,Tupelo,MS,NJ,MERCER,1,500000,375000.0,500000.0,75.0
Hancock Whitney Bank,Gulfport,MS,TX,JOHNSON,1,500000,375000.0,500000.0,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,AZ,YUMA,1,500000,375000.0,500000.0,75.0
"Bank of America, National Association",Charlotte,NC,TX,HIDALGO,1,500000,250000.0,500000.0,50.0
Byline Bank,Chicago,IL,CO,WELD,1,500000,375000.0,500000.0,75.0
ConnectOne Bank,Englewood Cliffs,NJ,FL,COLLIER,1,500000,375000.0,500000.0,75.0
"JPMorgan Chase Bank, National Association",Columbus,OH,PA,MONTGOMERY,1,500000,250000.0,500000.0,50.0
"Lendistry SBLC, LLC",Los Angeles,CA,IL,MCHENRY,1,500000,375000.0,500000.0,75.0
Republic Bank & Trust Company,Louisville,KY,FL,SARASOTA,1,500000,250000.0,500000.0,50.0
Northeast Bank,Lewiston,ME,ID,CANYON,1,500000,375000.0,500000.0,75.0
