lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
The State Bank and Trust Company,Defiance,OH,16,6530200,4812650.0,408137.5,73.7
Peoples Bank,Marietta,OH,27,6522300,4747475.0,241566.67,72.79
Trustmark National Bank,Jackson,MS,38,6511400,4832105.0,171352.63,74.21
Legacy Bank,Murrieta,CA,10,6435000,4826250.0,643500.0,75.0
Tompkins Community Bank,Ithaca,NY,38,6428200,3918725.0,169163.16,60.96
First National Bank Alaska,Anchorage,AK,6,6414200,4810650.0,1069033.33,75.0
The Yellowstone Bank,Billings,MT,17,6411200,4749750.0,377129.41,74.09
"Home Bank, National Association",Lafayette,LA,9,6369300,4722765.0,707700.0,74.15
Buckeye State Bank,Powell,OH,15,6366700,4626325.0,424446.67,72.66
Peoples Bank,Bellingham,WA,12,6357400,4650550.0,529783.33,73.15
Sunflower Bank National Association,Dallas,TX,7,6322500,4666875.0,903214.29,73.81
Genisys CU,Auburn Hills,MI,5,6290500,4731925.0,1258100.0,75.22
Farmers State Bank,Waterloo,IA,21,6269200,4660400.0,298533.33,74.34
HomeTown Bank,Redwood Falls,MN,2,6200000,4650000.0,3100000.0,75.0
First Federal Savings Bank,Huntington,IN,12,6179800,4582350.0,514983.33,74.15
Haddon Savings Bank,Haddon Heights,NJ,3,6176000,4632000.0,2058666.67,75.0
Ion Bank,Naugatuck,CT,6,6130800,4598100.0,1021800.0,75.0
Lee Bank,Lee,MA,10,6122000,4211000.0,612200.0,68.78
Bank of Central Florida,Lakeland,FL,7,6104000,4578000.0,872000.0,75.0
Lincoln Savings Bank,Reinbeck,IA,16,6006700,4562575.0,375418.75,75.96
EntreBank,Bloomington,MN,10,6005800,4216850.0,600580.0,70.21
21st Century Bank,Loretto,MN,16,5997500,4380625.0,374843.75,73.04
First Western Bank & Trust,Minot,ND,17,5977400,3990700.0,351611.76,66.76
Bridgewater Bank,Saint Louis Park,MN,6,5962900,4409675.0,993816.67,73.95
Capital Community Bank,Provo,UT,8,5958000,4373500.0,744750.0,73.41
BankPlus,Belzoni,MS,11,5932400,4476080.0,539309.09,75.45
Village Bank,Midlothian,VA,6,5846500,4384875.0,974416.67,75.0
FirstBank,Lakewood,CO,4,5837100,4365325.0,1459275.0,74.79
Wilson Bank & Trust,Lebanon,TN,7,5818500,4363875.0,831214.29,75.0
Team One CU,Saginaw,MI,6,5810300,4373725.0,968383.33,75.28
"Texas Advantage Community Bank, National Association",Alvin,TX,3,5789000,4341750.0,1929666.67,75.0
Highpoint Community Bank,Hastings,MI,3,5779100,4334325.0,1926366.67,75.0
Arizona Capital Source,Tucson,AZ,22,5751600,4344400.0,261436.36,75.53
Manasquan Bank,Wall Township,NJ,4,5741500,4310275.0,1435375.0,75.07
"Merchants Bank, National Association",Winona,MN,16,5704600,4116055.0,356537.5,72.15
The Freedom Bank of Virginia,Fairfax,VA,5,5696000,4272000.0,1139200.0,75.0
The First National Bank of Carmi,Carmi,IL,7,5647700,4210775.0,806814.29,74.56
Redwood CU,Santa Rosa,CA,11,5640000,3995000.0,512727.27,70.83
Cleveland State Bank,Cleveland,WI,6,5619100,4205645.0,936516.67,74.85
Waukesha State Bank,Waukesha,WI,11,5602200,4201650.0,509290.91,75.0
Embassy National Bank,Lawrenceville,GA,5,5602000,4201500.0,1120400.0,75.0
American National Bank-Fox Cities,Appleton,WI,15,5591700,4055150.0,372780.0,72.52
Hyperion Bank,Philadelphia,PA,6,5569700,4177275.0,928283.33,75.0
"State Bank of the Lakes, National Association",Antioch,IL,9,5562600,4121950.0,618066.67,74.1
Lake City Bank,Warsaw,IN,13,5552700,3678400.0,427130.77,66.25
University First FCU,Salt Lake City,UT,28,5551100,3253575.0,198253.57,58.61
Montana Community Development Corp.,Missoula,MT,40,5511800,4156915.0,137795.0,75.42
Katahdin Trust Co.,Patten,ME,17,5488700,3877875.0,322864.71,70.65
CFBank National Association,Columbus,OH,4,5464000,4035500.0,1366000.0,73.86
Capital Certified Development Corporation,Austin,TX,25,5447400,4187060.0,217896.0,76.86
DreamSpring,Albuquerque,NM,36,5423000,4271900.0,150638.89,78.77
The Bank of Edison,Edison,GA,4,5414000,4060500.0,1353500.0,75.0
Community Choice CU,Farmington Hills,MI,8,5410000,4001250.0,676250.0,73.96
First Port City Bank,Bainbridge,GA,11,5406600,4056750.0,491509.09,75.03
First State Bank,New London,WI,3,5397800,4003350.0,1799266.67,74.17
ServisFirst Bank,Birmingham,AL,2,5373000,4029750.0,2686500.0,75.0
Beach Cities Commercial Bank,Irvine,CA,8,5330000,4012500.0,666250.0,75.28
German American Bank,Jasper,IN,8,5325700,3988025.0,665712.5,74.88
"Santander Bank, National Association",Wilmington,DE,80,5300300,2650150.0,66253.75,50.0
Community National Bank & Trust,Chanute,KS,14,5270500,3840575.0,376464.29,72.87
The Bank of Commerce,Idaho Falls,ID,23,5229000,3102875.0,227347.83,59.34
Solvay Bank,Solvay,NY,2,5224900,3918675.0,2612450.0,75.0
Spring Bank,New York City,NY,2,5200000,3850000.0,2600000.0,74.04
Primary Bank,Bedford,NH,16,5180000,3663000.0,323750.0,70.71
Sunrise Banks National Association,Saint Paul,MN,30,5163000,3619350.0,172100.0,70.1
First Command Bank,Fort Worth,TX,16,5152100,3871375.0,322006.25,75.14
"New Omni Bank, National Association",Alhambra,CA,2,5150000,3877500.0,2575000.0,75.29
Bristol County Savings Bank,Taunton,MA,46,5119500,2809750.0,111293.48,54.88
Peoples Bank,Lubbock,TX,8,5118300,3838725.0,639787.5,75.0
Southern Bank,Poplar Bluff,MO,18,5093100,3716155.0,282950.0,72.96
VisionBank of Iowa,Ames,IA,3,5074300,3805725.0,1691433.33,75.0
New Carlisle Federal Savings Bank,New Carlisle,OH,21,5051900,2525950.0,240566.67,50.0
Park State Bank,Duluth,MN,1,5000000,3750000.0,5000000.0,75.0
Main Bank,Albuquerque,NM,1,5000000,3750000.0,5000000.0,75.0
Carolina Small Business Development Fund,Raleigh,NC,21,4976400,3765460.0,236971.43,75.67
The Victory Bank,Limerick,PA,8,4966000,3612000.0,620750.0,72.73
One Florida Bank,Orlando,FL,5,4936100,3702075.0,987220.0,75.0
Florence Bank,Florence,MA,9,4862700,3584525.0,540300.0,73.71
Horizon Bank SSB,Austin,TX,4,4821000,3615750.0,1205250.0,75.0
American Riviera Bank,Santa Barbara,CA,9,4801700,3557345.0,533522.22,74.09
First Pryority Bank,Pryor,OK,7,4798300,3429075.0,685471.43,71.46
Bank of San Francisco,San Francisco,CA,3,4786000,3589500.0,1595333.33,75.0
North Valley Bank,Zanesville,OH,4,4755500,1602625.0,1188875.0,33.7
First Federal Savings Bank of Twin Falls,Twin Falls,ID,4,4755000,3581250.0,1188750.0,75.32
STAR Financial Bank,Fort Wayne,IN,37,4751000,2651075.0,128405.41,55.8
The Juniata Valley Bank,Mifflintown,PA,5,4727000,3480750.0,945400.0,73.64
Ultima Bank Minnesota,Winger,MN,14,4724700,3332275.0,337478.57,70.53
"American Bank, National Association",Corpus Christi,TX,6,4688600,3523560.0,781433.33,75.15
Northern Bank and Trust Company,Woburn,MA,9,4683000,3487250.0,520333.33,74.47
Triad Business Bank,Greensboro,NC,4,4678500,3508875.0,1169625.0,75.0
River City Bank,Rome,GA,9,4665000,3523550.0,518333.33,75.53
Fairfield County Bank,Ridgefield,CT,1,4654500,3490875.0,4654500.0,75.0
Dream First Bank National Association,Syracuse,KS,11,4652800,3538100.0,422981.82,76.04
Northeast Bank,Minneapolis,MN,15,4644000,3248000.0,309600.0,69.94
Southern States Bank,Anniston,AL,11,4592700,3399525.0,417518.18,74.02
Southern Bank and Trust Company,Mount Olive,NC,9,4579800,2964900.0,508866.67,64.74
Sanibel Captiva Community Bank,Sanibel,FL,5,4571000,3365750.0,914200.0,73.63
"Fidelity Bank, National Association",Wichita,KS,7,4555200,3262650.0,650742.86,71.62
Citizens State Bank,Hudson,WI,14,4554300,3310725.0,325307.14,72.69
Alma Bank,Astoria,NY,4,4510000,3382500.0,1127500.0,75.0
Union National Bank,Elgin,IL,17,4487700,2897025.0,263982.35,64.55
The First National Bank of McGregor d/b/a TFNB Your Bank for,Mcgregor,TX,11,4460700,3398275.0,405518.18,76.18
Country Club Bank,Kansas City,MO,9,4459500,3307625.0,495500.0,74.17
First State Bank,Eastpointe,MI,3,4455700,3341775.0,1485233.33,75.0
First Bank Richmond,Richmond,IN,3,4450000,3337500.0,1483333.33,75.0
"MVB Bank, Inc.",Fairmont,WV,1,4407100,3305325.0,4407100.0,75.0
SouthWest Bank,Odessa,TX,10,4402500,3345625.0,440250.0,75.99
Black Hills FCU,Rapid City,SD,19,4395900,3024175.0,231363.16,68.8
Fidelity Deposit and Discount Bank,Dunmore,PA,12,4388500,3266375.0,365708.33,74.43
"Pendleton Community Bank, Inc.",Franklin,WV,5,4388000,3195250.0,877600.0,72.82
LAF CU,Lansing,MI,3,4382500,3286875.0,1460833.33,75.0
Port Richmond Savings,Philadelphia,PA,1,4382400,3286800.0,4382400.0,75.0
National Bank of Commerce,Superior,WI,13,4379100,3289935.0,336853.85,75.13
Meredith Village Savings Bank,Meredith,NH,39,4361400,2847520.0,111830.77,65.29
Branson Bank,Branson,MO,12,4352000,3179405.0,362666.67,73.06
ChoiceOne Bank,Sparta,MI,9,4302100,3008325.0,478011.11,69.93
Community First CU,Neenah,WI,4,4298600,3161450.0,1074650.0,73.55
Community National Bank,Derby,VT,31,4259100,3174645.0,137390.32,74.54
Popular Bank,New York City,NY,2,4250000,3187500.0,2125000.0,75.0
Kennebunk Savings Bank,Kennebunk,ME,18,4231000,2905605.0,235055.56,68.67
University Bank,Ann Arbor,MI,7,4214500,3160875.0,602071.43,75.0
Cornerstone Community Bank,Red Bluff,CA,11,4208000,2862375.0,382545.45,68.02
Bank of the West,Grapevine,TX,4,4207000,3155250.0,1051750.0,75.0
Pacific Premier Bank,Irvine,CA,4,4200000,3150000.0,1050000.0,75.0
The Canandaigua National Bank and Trust Company,Canandaigua,NY,12,4193300,2871055.0,349441.67,68.47
1st Colonial Community Bank,Collingswood,NJ,9,4188900,3063475.0,465433.33,73.13
LGE Community CU,Marietta,GA,3,4185500,1982475.0,1395166.67,47.37
"Northbrook Bank & Trust Company, National Association",Northbrook,IL,7,4181200,3010900.0,597314.29,72.01
The Bank of Missouri,Perryville,MO,14,4178100,3095825.0,298435.71,74.1
"Incommons Bank, National Association",Mexia,TX,2,4172000,3129000.0,2086000.0,75.0
"Wintrust Bank, National Association",Chicago,IL,7,4166000,2874500.0,595142.86,69.0
Security Bank,Tulsa,OK,10,4148400,2973900.0,414840.0,71.69
Flagstar Bank National Association,Hicksville,NY,15,4107300,2715550.0,273820.0,66.12
First Financial Bank,Abilene,TX,10,4076800,3082870.0,407680.0,75.62
Alpine Bank,Glenwood Springs,CO,1,4064900,3048675.0,4064900.0,75.0
Farmers & Merchants Bank & Trust,Marinette,WI,3,4054000,3021750.0,1351333.33,74.54
Kitsap Bank,Port Orchard,WA,10,4035000,2941250.0,403500.0,72.89
NEPA Alliance Business Finance Corporation,Pittston,PA,23,4029400,3098060.0,175191.3,76.89
The Cooperative Bank of Cape Cod,Hyannis,MA,6,4025500,2946375.0,670916.67,73.19
Cornhusker Bank,Lincoln,NE,10,4001800,2588600.0,400180.0,64.69
Industrial Bank,Washington,DC,6,3964500,2889625.0,660750.0,72.89
Premier Bank,Youngstown,OH,21,3961500,2447375.0,188642.86,61.78
Gorham Savings Bank,Gorham,ME,26,3950500,2899275.0,151942.31,73.39
People's Bank of Seneca,Seneca,MO,1,3937900,2953425.0,3937900.0,75.0
1st Capital Bank,Salinas,CA,6,3909500,2961525.0,651583.33,75.75
Lake Elmo Bank,Lake Elmo,MN,5,3905100,2875525.0,781020.0,73.64
Bank of the Valley,Bellwood,NE,1,3900000,2925000.0,3900000.0,75.0
Timberland Bank,Hoquiam,WA,9,3896000,2833500.0,432888.89,72.73
Troy Bank & Trust Company,Troy,AL,3,3872000,2904000.0,1290666.67,75.0
Fortifi Bank,Berlin,WI,7,3835400,2806550.0,547914.29,73.17
Horicon Bank,Horicon,WI,4,3799000,2824250.0,949750.0,74.34
"Commercial Bank of Texas, N.A.",Nacogdoches,TX,6,3791200,2591450.0,631866.67,68.35
Peoples Bank & Trust,Pana,IL,14,3775800,2885790.0,269700.0,76.43
Harborstone CU,Lakewood,WA,9,3754500,2680375.0,417166.67,71.39
Navigant CU,Smithfield,RI,12,3748000,2462250.0,312333.33,65.7
Hometown Bank,Kent,OH,5,3741100,2805825.0,748220.0,75.0
PS Bank,Wyalusing,PA,28,3727200,2561870.0,133114.29,68.73
Primesouth Bank,Blackshear,GA,7,3724000,2818050.0,532000.0,75.67
Sabre Finance,Birmingham,AL,23,3716200,2913820.0,161573.91,78.41
Access Bank,Omaha,NE,3,3714600,2799950.0,1238200.0,75.38
Bank of the Rockies,Helena,MT,6,3707000,2695250.0,617833.33,72.71
United Bank of Union,Union,MO,10,3706000,2684570.0,370600.0,72.44
Accompany Capital,New York,NY,16,3703000,2888250.0,231437.5,78.0
Bank of Hays,Hays,KS,15,3656100,2678335.0,243740.0,73.26
St. Johns Bank and Trust Company,Saint Louis,MO,3,3649100,2674325.0,1216366.67,73.29
First Security Bank,Byron,MN,2,3623700,2717775.0,1811850.0,75.0
"Blue Ridge Bank, National Association",Martinsville,VA,9,3615000,2623750.0,401666.67,72.58
"Flagship Enterprise Center, Inc. (dba Bankable)",Anderson,IN,21,3573000,2826050.0,170142.86,79.09
Small Business Bank,Lenexa,KS,15,3567900,2728875.0,237860.0,76.48
"Wheaton Bank & Trust Company, National Association",Wheaton,IL,9,3567500,2429375.0,396388.89,68.1
United Bank of Iowa,Ida Grove,IA,8,3561000,2699850.0,445125.0,75.82
St. Mary's CU,Marlborough,MA,46,3553100,2311925.0,77241.3,65.07
CASE CU,Lansing,MI,9,3550000,2012500.0,394444.44,56.69
"Planters Bank, Inc.",Hopkinsville,KY,2,3540000,2664000.0,1770000.0,75.25
Bravera Bank,Dickinson,ND,13,3531200,2581870.0,271630.77,73.12
"Southern AgCredit, FLCA",Hattiesburg,MS,2,3484500,2613375.0,1742250.0,75.0
Exchange Bank,Milledgeville,GA,2,3438600,2449406.0,1719300.0,71.23
Adams Bank & Trust,Ogallala,NE,5,3355000,2465750.0,671000.0,73.49
Numerica CU,Spokane Valley,WA,9,3340500,2451275.0,371166.67,73.38
City Bank & Trust Co.,Lincoln,NE,3,3310000,2482500.0,1103333.33,75.0
"Golden Bank, National Association",Houston,TX,5,3295500,2621625.0,659100.0,79.55
Oostburg State Bank,Oostburg,WI,9,3279000,2425500.0,364333.33,73.97
Sonata Bank,Brentwood,TN,4,3271000,2428250.0,817750.0,74.24
Fortress Bank,Peoria,IL,3,3242800,2432100.0,1080933.33,75.0
Peach State Federal Credit Union,Lawrenceville,GA,2,3221000,2415750.0,1610500.0,75.0
TBA CU,Traverse City,MI,2,3211100,2421335.0,1605550.0,75.41
Time Bank,Park Ridge,IL,10,3205900,2296925.0,320590.0,71.65
Scale Bank,Edina,MN,6,3177400,2351800.0,529566.67,74.02
Pioneer Bank,Mapleton,MN,2,3170000,2377500.0,1585000.0,75.0
BankNewport,Newport,RI,35,3160400,1580200.0,90297.14,50.0
Coulee Bank,La Crosse,WI,6,3154500,2390775.0,525750.0,75.79
First National Community Bank,New Richmond,WI,18,3149600,2160935.0,174977.78,68.61
Ponce Bank,New York City,NY,5,3141800,2356350.0,628360.0,75.0
The Community Bank,Zanesville,OH,21,3130600,2021335.0,149076.19,64.57
Security Financial Bank,Durand,WI,5,3115000,2456000.0,623000.0,78.84
Century Bank,Santa Fe,NM,8,3093200,2043900.0,386650.0,66.08
Community Savings Bank,Edgewood,IA,1,3075000,2306250.0,3075000.0,75.0
Travis CU,Vacaville,CA,6,3075000,2338750.0,512500.0,76.06
Third Coast Bank,Humble,TX,6,3075000,2206250.0,512500.0,71.75
Community West Bank,Fresno,CA,6,3072500,2340175.0,512083.33,76.17
BayCoast Bank,Swansea,MA,13,3058300,1883050.0,235253.85,61.57
Excelsior Growth Fund is the CDFI affilitiate of NYBDC Local,Albany,NY,13,3043000,2357950.0,234076.92,77.49
Summit CU,Cottage Grove,WI,19,3021100,2011595.0,159005.26,66.58
First Service Credit Union,Houston,TX,3,3020000,2277000.0,1006666.67,75.4
Security Federal Bank,Aiken,SC,11,3015600,2277340.0,274145.45,75.52
"California International Bank, A National Banking Associatio",Westminster,CA,4,3003700,2252775.0,750925.0,75.0
Lone Star National Bank,Pharr,TX,13,2977000,2267150.0,229000.0,76.16
First Savings Bank,Beresford,SD,11,2972600,1825025.0,270236.36,61.39
Minnwest Bank,Redwood Falls,MN,9,2967900,2080750.0,329766.67,70.11
Consumers National Bank,Minerva,OH,18,2961900,1990830.0,164550.0,67.21
Ent CU,Colorado Springs,CO,5,2954600,2230950.0,590920.0,75.51
Bank of Franklin County,Washington,MO,4,2951100,1895375.0,737775.0,64.23
Lake Trust CU,Brighton,MI,6,2949100,2186825.0,491516.67,74.15
Citizens Bank & Trust Company,Plaquemine,LA,3,2938800,2210480.0,979600.0,75.22
Central Bank,Tampa,FL,8,2921000,2203250.0,365125.0,75.43
"American Bank & Trust Company, Inc.",Bowling Green,KY,12,2909500,2210875.0,242458.33,75.99
"Valley Economic Development Partners, Inc.",Youngstown,OH,18,2908300,2297995.0,161572.22,79.02
Home Bank of California,San Diego,CA,2,2890500,2167875.0,1445250.0,75.0
"Crystal Lake Bank & Trust Company, National Association",Crystal Lake,IL,4,2890300,2130225.0,722575.0,73.7
Eaton Community Bank,Charlotte,MI,5,2874000,2088900.0,574800.0,72.68
Heartland Bank,Whitehall,OH,7,2870700,2128025.0,410100.0,74.13
Civista Bank,Sandusky,OH,5,2868100,2151075.0,573620.0,75.0
Field & Main Bank,Henderson,KY,3,2847000,2146450.0,949000.0,75.39
CNB Bank,Clearfield,PA,11,2846500,1872500.0,258772.73,65.78
Gulf Coast Business Bank,Fort Myers,FL,2,2834000,2125500.0,1417000.0,75.0
Peoples Bank of Alabama,Cullman,AL,7,2833700,2153195.0,404814.29,75.99
Bar Harbor Bank & Trust,Bar Harbor,ME,26,2824500,2073640.0,108634.62,73.42
Inova FCU,Elkhart,IN,3,2823500,2124825.0,941166.67,75.26
Newtown Savings Bank,Newtown,CT,10,2822900,1970625.0,282290.0,69.81
Merrimack County Savings Bank,Concord,NH,11,2815200,1895500.0,255927.27,67.33
Northwest Bank,Spencer,IA,15,2801700,2065863.0,186780.0,73.74
Achieva CU,Dunedin,FL,1,2783900,2087925.0,2783900.0,75.0
Bank 7,Oklahoma City,OK,5,2768900,2048500.0,553780.0,73.98
Trenton Business Assistance Corporation,Princeton,NJ,21,2762500,2211125.0,131547.62,80.04
"Texas Republic Bank, National Association",Frisco,TX,1,2761000,2070750.0,2761000.0,75.0
Great Southern Bank,Springfield,MO,3,2760600,2070450.0,920200.0,75.0
All Capital Bank,Locust Grove,OK,5,2739600,2066990.0,547920.0,75.45
Valley Bank of Ronan,Ronan,MT,5,2724000,1812000.0,544800.0,66.52
Growth Capital Corp.,Cleveland,OH,14,2723500,2098925.0,194535.71,77.07
Capitol National Bank,Lansing,MI,2,2704000,2028000.0,1352000.0,75.0
Community First Capital Corp,Lancaster,PA,17,2699000,1907950.0,158764.71,70.69
The Bank of New Glarus,New Glarus,WI,2,2693400,2020050.0,1346700.0,75.0
Integrity Bank & Trust,Monument,CO,8,2686200,2024650.0,335775.0,75.37
Bank of the Pacific,Aberdeen,WA,3,2660000,1995000.0,886666.67,75.0
Needham Bank,Needham,MA,22,2638500,1681210.0,119931.82,63.72
St Cloud Financial Credit Union,Sartell,MN,8,2634800,2012030.0,329350.0,76.36
First United Bank,Dimmitt,TX,5,2624600,1828075.0,524920.0,69.65
Brighton Bank,Salt Lake City,UT,6,2592400,1744300.0,432066.67,67.29
Members Cooperative CU,Duluth,MN,3,2587400,1943550.0,862466.67,75.12
Economic and Community Development Institute,Columbus,OH,12,2566800,1961990.0,213900.0,76.44
Idaho Trust Bank,Boise,ID,3,2547400,1860550.0,849133.33,73.04
Texell CU,Temple,TX,14,2545300,1981025.0,181807.14,77.83
EagleBank,Bethesda,MD,8,2540000,1712825.0,317500.0,67.43
American Pride Bank,Macon,GA,1,2525000,1893750.0,2525000.0,75.0
Southwest Heritage Bank,Scottsdale,AZ,4,2521000,1858000.0,630250.0,73.7
The Ephrata National Bank,Ephrata,PA,1,2520000,1890000.0,2520000.0,75.0
Central National Bank,Junction City,KS,2,2516500,1902375.0,1258250.0,75.6
Idaho First Bank,Mccall,ID,2,2504300,1840725.0,1252150.0,73.5
"First Financial Bank, National Association",Terre Haute,IN,10,2488000,1244000.0,248800.0,50.0
4Front Credit Union,Traverse City,MI,14,2482500,1940125.0,177321.43,78.15
Brookline Bank,Brookline,MA,18,2479500,1364750.0,137750.0,55.04
The Adirondack Trust Company,Saratoga Springs,NY,19,2466400,1665830.0,129810.53,67.54
"Community Bank, National Association",Canton,NY,11,2463400,1493825.0,223945.45,60.64
Lake Ridge Bank,Cross Plains,WI,16,2461100,1572575.0,153818.75,63.9
Frontier Bank of Texas,Elgin,TX,8,2447800,1533130.0,305975.0,62.63
Mi Bank,Bloomfield Hills,MI,3,2430000,1822500.0,810000.0,75.0
First Heritage Bank,Centralia,KS,4,2395000,1796250.0,598750.0,75.0
SpiritBank,Tulsa,OK,3,2387600,1801120.0,795866.67,75.44
New Valley Bank & Trust,Springfield,MA,11,2377500,1709875.0,216136.36,71.92
US Eagle FCU,Albuquerque,NM,2,2370000,1777500.0,1185000.0,75.0
Citizens Alliance Bank,Clara City,MN,3,2360000,1630000.0,786666.67,69.07
Susser Bank,Dallas,TX,4,2356000,1775900.0,589000.0,75.38
MidCountry Bank,Bloomington,MN,2,2350000,1718750.0,1175000.0,73.14
First Security Bank and Trust Company,Oklahoma City,OK,9,2343100,1680700.0,260344.44,71.73
Webster Five Cents Savings Bank,Webster,MA,17,2337600,1343800.0,137505.88,57.49
Honor CU,Berrien Springs,MI,6,2337200,1752900.0,389533.33,75.0
First State Bank,Waynesboro,MS,5,2325600,1744200.0,465120.0,75.0
Timberline Bank,Grand Junction,CO,3,2315000,1707000.0,771666.67,73.74
Town and Country CU,Minot,ND,14,2313800,1481800.0,165271.43,64.04
The Callaway Bank,Fulton,MO,11,2307800,1563075.0,209800.0,67.73
Redwood Capital Bank,Eureka,CA,5,2302700,1714525.0,460540.0,74.46
Union Bank,Grand Rapids,MI,2,2296000,1722000.0,1148000.0,75.0
First Enterprise Bank,Oklahoma City,OK,3,2269100,1601825.0,756366.67,70.59
CS Bank,Eureka Springs,AR,5,2255100,1408825.0,451020.0,62.47
Avidia Bank,Hudson,MA,7,2246000,1509500.0,320857.14,67.21
Mountain West Small Business Finance,Salt Lake City,UT,12,2235000,1720750.0,186250.0,76.99
Isabella Bank,Mount Pleasant,MI,3,2226400,1614800.0,742133.33,72.53
Texas First Bank,Texas City,TX,2,2226400,1669800.0,1113200.0,75.0
Midwest Bank,Pierce,NE,5,2225000,1511625.0,445000.0,67.94
Cedar Rapids Bank and Trust Company,Cedar Rapids,IA,9,2219500,1658425.0,246611.11,74.72
D. L. Evans Bank,Burley,ID,21,2206000,1229500.0,105047.62,55.73
Clear Lake Bank & Trust Company,Clear Lake,IA,6,2186500,1594875.0,364416.67,72.94
Alliance Catholic CU,Farmington Hills,MI,2,2186000,1639500.0,1093000.0,75.0
RiverHills Bank,Milford,OH,9,2117100,1619255.0,235233.33,76.48
Newburyport Five Cents Savings Bank,Newburyport,MA,15,2113700,1168850.0,140913.33,55.3
Belgrade State Bank,Belgrade,MO,6,2109700,1606995.0,351616.67,76.17
Gibsland Bank & Trust Company,Gibsland,LA,6,2101200,1424990.0,350200.0,67.82
1st Security Bank of Washington,Mountlake Terrace,WA,22,2100200,1407970.0,95463.64,67.04
The Andover Bank,Andover,OH,2,2094900,1507675.0,1047450.0,71.97
Texas Champion Bank,Corpus Christi,TX,5,2093000,1599750.0,418600.0,76.43
First Heritage Federal Credit Union,Corning,NY,13,2071100,1597635.0,159315.38,77.14
The Honesdale National Bank,Honesdale,PA,5,2027200,1539520.0,405440.0,75.94
Wayne Bank,Honesdale,PA,7,2017500,1566625.0,288214.29,77.65
Arkansas FCU,Little Rock,AR,6,2015000,1511250.0,335833.33,75.0
BHCU D/B/A Propell Credit Union,Ridley Park,PA,3,2003000,1502250.0,667666.67,75.0
"South Central Bank, Inc.",Glasgow,KY,6,2001500,1426125.0,333583.33,71.25
American Federal Bank,Fargo,ND,1,2000000,1500000.0,2000000.0,75.0
Wings Financial CU,Apple Valley,MN,1,2000000,1500000.0,2000000.0,75.0
The Fisher National Bank,Fisher,IL,8,1998800,1518100.0,249850.0,75.95
Decatur County Bank,Decaturville,TN,4,1990000,1492500.0,497500.0,75.0
Flint Community Bank,Albany,GA,2,1984600,1488450.0,992300.0,75.0
Hills Bank and Trust Company,Hills,IA,16,1975100,1310085.0,123443.75,66.33
First Bank and Trust Co,Duncan,OK,1,1972400,1479300.0,1972400.0,75.0
Sovereign Bank,Shawnee,OK,1,1947900,1460925.0,1947900.0,75.0
National Exchange Bank and Trust,Fond Du Lac,WI,1,1944000,1458000.0,1944000.0,75.0
"Beverly Bank & Trust Company, National Association",Chicago,IL,7,1938000,1190500.0,276857.14,61.43
Coastal Heritage Bank,East Weymouth,MA,7,1935000,1398000.0,276428.57,72.25
Ascent Bank,Helena,MT,2,1921000,1415750.0,960500.0,73.7
Orrstown Bank,Shippensburg,PA,4,1919500,1339625.0,479875.0,69.79
Select Bank,Forest,VA,12,1917200,1409900.0,159766.67,73.54
Two Rivers Bank & Trust,Burlington,IA,6,1901000,1425750.0,316833.33,75.0
Landmark National Bank,Manhattan,KS,4,1899000,1386750.0,474750.0,73.03
Hawthorn Bank,Jefferson City,MO,11,1898500,1143225.0,172590.91,60.22
Asian Bank,Philadelphia,PA,11,1894500,1422625.0,172227.27,75.09
Opportunity Bank of Montana,Helena,MT,5,1892000,1431000.0,378400.0,75.63
Pentucket Bank,Haverhill,MA,10,1883000,1258200.0,188300.0,66.82
Somerset Trust Company,Somerset,PA,9,1880700,1140350.0,208966.67,60.63
Kellogg Community CU,Battle Creek,MI,7,1869000,1430000.0,267000.0,76.51
The First National Bank of Absecon,Absecon,NJ,1,1859000,1394250.0,1859000.0,75.0
Rayne State Bank & Trust Company,Rayne,LA,2,1850000,1392500.0,925000.0,75.27
Community Bank Delaware,Lewes,DE,1,1850000,1387500.0,1850000.0,75.0
Woodsville Guaranty Savings Bank,Woodsville,NH,11,1838900,991525.0,167172.73,53.92
O Bee CU,Lacey,WA,3,1831900,1521130.0,610633.33,83.04
"American Bank, National Association",Dallas,TX,2,1821000,1365750.0,910500.0,75.0
CBI Bank & Trust,Muscatine,IA,4,1820000,1186000.0,455000.0,65.16
Valley First CU,Modesto,CA,7,1811800,1391550.0,258828.57,76.8
Citizens State Bank of La Crosse,La Crosse,WI,7,1811000,1320700.0,258714.29,72.93
United Community Bank,Chatham,IL,3,1807500,1261875.0,602500.0,69.81
Dominion Bank,Dallas,TX,2,1800000,1350000.0,900000.0,75.0
Community Investment Corporation,Hamden,CT,9,1795000,1403250.0,199444.44,78.18
Gainey Business Bank,Scottsdale,AZ,2,1795000,1346250.0,897500.0,75.0
"Bank of Bridger, National Association",Bridger,MT,6,1785100,1341825.0,297516.67,75.17
First Fed Bank,Port Angeles,WA,3,1775000,1331250.0,591666.67,75.0
R Bank,Round Rock,TX,2,1770500,1327875.0,885250.0,75.0
Freedom Financial Bank,West Des Moines,IA,1,1766000,1324500.0,1766000.0,75.0
Community Capital Resources,Elmsford,NY,14,1760000,1479000.0,125714.29,84.03
