lender,lender_city,lender_state,approved_loans,approved_dollars,approved_sba_guaranty_dollars,avg_loan_size,guaranty_rate_pct
McCoy FCU,Orlando,FL,1,150000,127500.0,150000.0,85.0
Legacy Bank,Hinton,OK,3,146800,73400.0,48933.33,50.0
California CU,Glendale,CA,1,145000,123250.0,145000.0,85.0
Ozark Bank,Ozark,MO,1,140000,119000.0,140000.0,85.0
"Northeast Entrepreneur Fund, Inc.",Duluth,MN,2,134100,95715.0,67050.0,71.38
Mazuma CU,Overland Park,KS,1,134000,67000.0,134000.0,50.0
Guthrie County State Bank,Panora,IA,1,132500,112625.0,132500.0,85.0
Bay State Savings Bank,Worcester,MA,1,131000,111350.0,131000.0,85.0
First National Bank,Oldham,SD,2,129000,83400.0,64500.0,64.65
Harmony Bank,Dallas,TX,1,125000,106250.0,125000.0,85.0
Lakeview Bank,Lakeville,MN,1,125000,106250.0,125000.0,85.0
Northern State Bank of Thief River Falls,Thief River Falls,MN,1,125000,106250.0,125000.0,85.0
St. Clair County State Bank,Osceola,MO,2,122500,61250.0,61250.0,50.0
Pine River State Bank,Pine River,MN,3,122100,61050.0,40700.0,50.0
The North Salem State Bank,North Salem,IN,1,121000,60500.0,121000.0,50.0
Community Bank,Dunlap,IA,1,120000,102000.0,120000.0,85.0
Nebraska State Bank and Trust Company,Broken Bow,NE,1,120000,102000.0,120000.0,85.0
The Cooperative Bank,Roslindale,MA,1,120000,90000.0,120000.0,75.0
Bank Star,Pacific,MO,1,119000,89250.0,119000.0,75.0
Signal Financial FCU,Kensington,MD,1,113500,96475.0,113500.0,85.0
Prospera CU,Appleton,WI,1,112200,56100.0,112200.0,50.0
First Security Bank & Trust Company,Charles City,IA,1,110000,93500.0,110000.0,85.0
"Citizens Bank, National Association",Abilene,TX,1,107300,91205.0,107300.0,85.0
Citizens & Northern Bank,Wellsboro,PA,1,106000,53000.0,106000.0,50.0
The Harrison County Bank,Lost Creek,WV,1,100800,50400.0,100800.0,50.0
First Bank,Clewiston,FL,1,100000,50000.0,100000.0,50.0
Legacy Bank & Trust Company,Mt. Grove,MO,1,100000,50000.0,100000.0,50.0
The Peoples Bank,Pratt,KS,1,100000,50000.0,100000.0,50.0
The First National Bank of Bemidji,Bemidji,MN,1,100000,85000.0,100000.0,85.0
Reliance Bank,Faribault,MN,1,100000,50000.0,100000.0,50.0
Cape Ann Savings Bank,Gloucester,MA,1,100000,85000.0,100000.0,85.0
Security Bank Minnesota,Albert Lea,MN,1,100000,50000.0,100000.0,50.0
Essex Savings Bank,Essex,CT,1,100000,50000.0,100000.0,50.0
"First National Bank, Cortez",Cortez,CO,1,100000,85000.0,100000.0,85.0
Welcome State Bank,Welcome,MN,1,100000,50000.0,100000.0,50.0
Nusenda FCU,Albuquerque,NM,1,100000,50000.0,100000.0,50.0
Institution for Savings In Newburyport and its Vicinity,Newburyport,MA,1,99900,49950.0,99900.0,50.0
West Union Bank,West Union,WV,1,99800,49900.0,99800.0,50.0
The Bank of Brodhead,Brodhead,WI,2,95000,47500.0,47500.0,50.0
Glenwood State Bank Incorporated,Glenwood,MN,1,95000,80750.0,95000.0,85.0
Altra FCU,Onalaska,WI,1,93600,79560.0,93600.0,85.0
Reliant Community FCU,Sodus,NY,1,90000,76500.0,90000.0,85.0
Peoples Exchange Bank,Winchester,KY,1,90000,76500.0,90000.0,85.0
The First National Bank of Ballinger,Ballinger,TX,1,90000,76500.0,90000.0,85.0
Associated CU of Texas,League City,TX,1,88300,75055.0,88300.0,85.0
North Star Community CU,Maddock,ND,2,86100,73185.0,43050.0,85.0
Central Virginia FCU,Lynchburg,VA,2,85000,72250.0,42500.0,85.0
Foresight Bank,Plainview,MN,1,85000,42500.0,85000.0,50.0
Arcata Economic Development Corporation,Eureka,CA,1,85000,72250.0,85000.0,85.0
Capital Bank,Houston,TX,1,85000,72250.0,85000.0,85.0
Peoples National Bank of Kewanee,Kewanee,IL,1,85000,72250.0,85000.0,85.0
"SomerCor 504, Inc.",Chicago,IL,1,80000,68000.0,80000.0,85.0
North Central Massachusetts Development Corporation,Fitchburg,MA,2,80000,68000.0,40000.0,85.0
Reliance State Bank,Story City,IA,1,80000,68000.0,80000.0,85.0
The Tri-County Bank,Stuart,NE,1,75800,37900.0,75800.0,50.0
Superior National Bank,Hancock,MI,1,75000,37500.0,75000.0,50.0
Riverland Bank,Jordan,MN,1,75000,37500.0,75000.0,50.0
Dundee Bank,Omaha,NE,1,75000,37500.0,75000.0,50.0
The Bank of Kaukauna,Kaukauna,WI,1,75000,37500.0,75000.0,50.0
Arize FCU,State College,PA,1,74400,63240.0,74400.0,85.0
Dort Financial CU,Grand Blanc,MI,1,68900,34450.0,68900.0,50.0
First National Bank,Alamogordo,NM,1,67900,33950.0,67900.0,50.0
Andover State Bank,Andover,KS,1,67500,50625.0,67500.0,75.0
Coastal FCU,Raleigh,NC,1,65000,32500.0,65000.0,50.0
Ideal CU,Woodbury,MN,1,65000,55250.0,65000.0,85.0
Sno Falls CU,North Bend,WA,1,63300,53805.0,63300.0,85.0
Essential Credit Union,Baton Rouge,LA,2,60000,30000.0,30000.0,50.0
Intercity State Bank,Schofield,WI,1,60000,51000.0,60000.0,85.0
Community First Bank,Boscobel,WI,1,60000,30000.0,60000.0,50.0
Westfield Bank,Westfield,MA,1,60000,51000.0,60000.0,85.0
Bruning Bank,Bruning,NE,1,58000,29000.0,58000.0,50.0
"Traditional Bank, Inc.",Mount Sterling,KY,1,57000,48450.0,57000.0,85.0
Great American Bank,Lawrence,KS,1,55000,27500.0,55000.0,50.0
Rural Community Assistance Corporation,West Sacramento,CA,1,55000,46750.0,55000.0,85.0
Midwest Bank,Detroit Lakes,MN,2,54000,27000.0,27000.0,50.0
Sentinel FCU,Ellsworth Air Force Base,SD,1,54000,45900.0,54000.0,85.0
Financial Plus CU,Flint,MI,1,52300,44455.0,52300.0,85.0
BankGloucester,Gloucester,MA,1,50000,25000.0,50000.0,50.0
CorTrust Bank National Association,Mitchell,SD,1,50000,25000.0,50000.0,50.0
First National Bank,Fort Pierre,SD,1,50000,42500.0,50000.0,85.0
Union Bank,Morrisville,VT,1,50000,25000.0,50000.0,50.0
ProGrowth Bank,Nicollet,MN,1,50000,42500.0,50000.0,85.0
Community Capital Development Corporation,Dublin,OH,1,50000,42500.0,50000.0,85.0
Cy Fair FCU,Houston,TX,1,50000,42500.0,50000.0,85.0
Citizens Progressive Bank,Winnsboro,LA,2,50000,41250.0,25000.0,82.5
The Washington Trust Company of Westerly,Westerly,RI,1,50000,25000.0,50000.0,50.0
Sharon & Crescent United CU,Sharon,MA,1,44000,22000.0,44000.0,50.0
Pikes Peak National Bank,Colorado Springs,CO,1,42300,35955.0,42300.0,85.0
The Citizens Bank of Edmond,Edmond,OK,1,40000,34000.0,40000.0,85.0
Align CU,Lowell,MA,1,40000,20000.0,40000.0,50.0
Mechanics Cooperative Bank,Taunton,MA,1,40000,34000.0,40000.0,85.0
"Cape & Islands Community Development, Inc.",Centerville,MA,1,40000,34000.0,40000.0,85.0
"Hometown Bank of Corbin, Inc. d/b/a Hometown Bank",Corbin,KY,1,38000,19000.0,38000.0,50.0
The Bank,Oberlin,KS,2,37500,18750.0,18750.0,50.0
"FNB Bank, Inc.",Romney,WV,1,31800,15900.0,31800.0,50.0
Community Bank and Trust,Neosho,MO,1,30200,15100.0,30200.0,50.0
Mid Minnesota FCU,Baxter,MN,2,30000,15000.0,15000.0,50.0
First State Bank and Trust Company Inc,Caruthersville,MO,1,30000,25500.0,30000.0,85.0
Union State Bank of Hazen,Hazen,ND,1,30000,15000.0,30000.0,50.0
SAFE CU,Folsom,CA,1,25000,12500.0,25000.0,50.0
State Bank of Lake Park,Lake Park,MN,1,20000,10000.0,20000.0,50.0
Sherburne State Bank,Becker,MN,1,15000,7500.0,15000.0,50.0
Viking Bank National Association,Alexandria,MN,1,10700,5350.0,10700.0,50.0
